Leggett & Platt Price to Free Cash Flow Ratio Historical Data,Leggett & Platt Price to Free Cash Flow Ratio Historical Data,Leggett & Platt Price to Free Cash Flow Ratio Historical Data,Leggett & Platt Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,8.3,,4.2
2024-12-31,9.6,$1.97,4.86
2024-09-30,13.56,$2.17,6.24
2024-06-30,11.36,$2.44,4.67
2024-03-31,18.91,$2.43,7.79
2023-12-31,25.21,$2.98,8.45
2023-09-30,24.07,$3.56,6.75
2023-06-30,27.58,$2.92,9.44
2023-03-31,29.25,$2.82,10.38
2022-12-31,29.16,$2.53,11.53
2022-09-30,29.66,$2.42,12.25
2022-06-30,30.51,$2.29,13.34
2022-03-31,30.32,$1.89,16.05
2021-12-31,35.44,$1.49,23.84
2021-09-30,38.22,$1.54,24.74
2021-06-30,43.77,$3.22,13.57
2021-03-31,38.26,$3.79,10.08
2020-12-31,36.82,$3.95,9.33
2020-09-30,33.89,$4.00,8.48
2020-06-30,28.67,$3.48,8.25
2020-03-31,21.5,$3.78,5.69
2019-12-31,40.42,$3.88,10.43
2019-09-30,32.31,$3.44,9.4
2019-06-30,30.0,$2.74,10.95
2019-03-31,32.66,$2.05,15.97
2018-12-31,27.48,$2.08,13.24
2018-09-30,33.23,$1.98,16.75
2018-06-30,33.6,$1.83,18.34
2018-03-31,33.1,$1.93,17.16
2017-12-31,35.35,$2.07,17.07
2017-09-30,35.08,$1.93,18.16
2017-06-30,38.3,$2.16,17.7
2017-03-31,36.44,$2.64,13.81
2016-12-31,35.15,$3.06,11.48
2016-09-30,32.56,$2.59,12.59
2016-06-30,36.26,$2.72,13.33
2016-03-31,34.1,$2.27,15.04
2015-12-31,29.4,$1.79,16.42
2015-09-30,28.65,$2.31,12.38
2015-06-30,33.57,$2.22,15.1
2015-03-31,31.59,$2.31,13.68
2014-12-31,29.0,$2.01,14.43
2014-09-30,23.59,$2.14,11.03
2014-06-30,22.95,$2.05,11.2
2014-03-31,21.66,$2.07,10.45
2013-12-31,20.34,$2.28,8.91
2013-09-30,19.62,$2.53,7.77
2013-06-30,20.04,$2.39,8.37
2013-03-31,21.57,$2.29,9.4
2012-12-31,17.23,$2.59,6.64
2012-09-30,15.69,$2.01,7.81
2012-06-30,13.08,$2.05,6.38
2012-03-31,14.04,$1.86,7.57
2011-12-31,13.89,$1.73,8.04
2011-09-30,11.78,$1.88,6.27
2011-06-30,14.32,$1.78,8.04
2011-03-31,14.23,$1.88,7.57
2010-12-31,13.07,$1.92,6.79
2010-09-30,12.91,$1.87,6.89
2010-06-30,11.24,$2.21,5.08
2010-03-31,11.98,$2.75,4.36
2009-12-31,11.16,$3.10,3.6
