Eagle Bancorp Montana Price to Free Cash Flow Ratio Historical Data,Eagle Bancorp Montana Price to Free Cash Flow Ratio Historical Data,Eagle Bancorp Montana Price to Free Cash Flow Ratio Historical Data,Eagle Bancorp Montana Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,16.95,,11.09
2024-09-30,15.66,$1.53,10.25
2024-06-30,13.02,$1.77,7.34
2024-03-31,12.47,$0.39,31.84
2023-12-31,15.17,$-0.49,0.0
2023-09-30,11.3,$1.16,9.72
2023-06-30,12.42,$0.40,31.14
2023-03-31,13.1,$2.61,5.02
2022-12-31,14.88,$3.59,4.14
2022-09-30,17.37,$3.95,4.4
2022-06-30,18.07,$7.75,2.33
2022-03-31,20.14,$7.28,2.77
2021-12-31,20.61,$6.88,3.0
2021-09-30,19.85,$2.67,7.43
2021-06-30,20.4,$2.23,9.17
2021-03-31,21.48,$-1.56,0.0
2020-12-31,18.66,$-2.71,0.0
2020-09-30,15.41,$-1.44,0.0
2020-06-30,15.12,$-3.96,0.0
2020-03-31,14.02,$-2.20,0.0
2019-12-31,18.42,$-1.11,0.0
2019-09-30,15.0,$-0.75,0.0
2019-06-30,14.23,$0.01,0.0
2019-03-31,14.44,$1.56,9.23
2018-12-31,13.99,$1.27,10.98
2018-09-30,15.31,$0.65,23.5
2018-06-30,16.2,$1.99,8.16
2018-03-31,17.34,$0.80,21.65
2017-12-31,17.42,$4.07,4.28
2017-09-30,15.32,$5.02,3.05
2017-06-30,14.91,$3.70,4.04
2017-03-31,16.33,$4.57,3.58
2016-12-31,17.25,$2.84,6.07
2016-09-30,11.56,$0.99,11.72
2016-06-30,10.28,$1.16,8.84
2016-03-31,9.77,$2.29,4.27
2015-12-31,9.87,$1.50,6.59
2015-09-30,8.99,$3.83,2.35
2015-06-30,8.49,$2.32,3.66
2015-03-31,8.69,$-0.10,0.0
2014-12-31,8.53,$0.96,8.88
2014-09-30,8.29,$0.96,8.65
2014-06-30,8.05,$1.85,4.35
2014-03-31,8.49,$3.51,2.42
2013-12-31,8.28,$2.03,4.08
2013-09-30,8.15,$-1.50,0.0
2013-06-30,7.96,$-1.23,0.0
2013-03-31,8.12,$-0.06,0.0
2012-12-31,7.62,$-1.23,0.0
2012-09-30,7.94,$0.22,35.94
2012-06-30,7.27,$-0.25,0.0
2012-03-31,7.34,$-4.03,0.0
2011-12-31,7.06,$-0.25,0.0
2011-09-30,7.48,$1.59,4.7
2011-06-30,7.55,$1.71,4.42
2011-03-31,8.18,$3.85,2.13
2010-12-31,7.56,$1.71,4.42
2010-09-30,6.31,$0.33,19.06
2010-06-30,6.71,$0.46,14.46
2010-03-31,7.91,$2.78,2.85
2009-12-31,5.83,$0.46,12.56
