Waterdrop Price to Free Cash Flow Ratio Historical Data,Waterdrop Price to Free Cash Flow Ratio Historical Data,Waterdrop Price to Free Cash Flow Ratio Historical Data,Waterdrop Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.53,,10.72
2024-09-30,1.2,$0.14,8.41
2024-06-30,1.13,$0.14,7.92
2024-03-31,1.29,$0.14,9.04
2023-12-31,1.04,$0.14,7.29
2023-09-30,1.16,$0.27,4.26
2023-06-30,2.08,$0.27,7.65
2023-03-31,2.99,$0.27,10.99
2022-12-31,3.33,$0.27,12.24
2022-09-30,1.09,$-0.59,0.0
2022-06-30,1.28,$-0.59,0.0
2022-03-31,1.48,$-0.59,0.0
