Chesapeake Utilities Price to Free Cash Flow Ratio Historical Data,Chesapeake Utilities Price to Free Cash Flow Ratio Historical Data,Chesapeake Utilities Price to Free Cash Flow Ratio Historical Data,Chesapeake Utilities Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,125.54,,0.0
2024-12-31,121.35,$-4.91,0.0
2024-09-30,123.54,$-3.46,0.0
2024-06-30,105.12,$-1.94,0.0
2024-03-31,105.57,$-0.28,0.0
2023-12-31,103.33,$0.97,107.01
2023-09-30,95.09,$2.31,41.11
2023-06-30,115.15,$1.86,62.06
2023-03-31,123.27,$1.95,63.35
2022-12-31,113.34,$1.94,58.49
2022-09-30,110.17,$0.02,4688.0
2022-06-30,123.17,$-0.23,0.0
2022-03-31,130.4,$-1.43,0.0
2021-12-31,137.53,$-2.01,0.0
2021-09-30,112.84,$0.58,193.68
2021-06-30,112.67,$1.00,112.89
2021-03-31,108.26,$0.04,2427.35
2020-12-31,100.55,$0.09,1136.13
2020-09-30,78.01,$-3.01,0.0
2020-06-30,77.29,$-3.19,0.0
2020-03-31,78.45,$-3.10,0.0
2019-12-31,87.3,$-4.95,0.0
2019-09-30,86.46,$-6.96,0.0
2019-06-30,85.82,$-7.29,0.0
2019-03-31,82.02,$-7.83,0.0
2018-12-31,72.82,$-7.44,0.0
2018-09-30,74.85,$-4.65,0.0
2018-06-30,71.03,$-5.53,0.0
2018-03-31,62.2,$-4.80,0.0
2017-12-31,69.13,$-3.94,0.0
2017-09-30,68.59,$-4.56,0.0
2017-06-30,65.42,$-4.04,0.0
2017-03-31,60.14,$-3.53,0.0
2016-12-31,57.92,$-4.20,0.0
2016-09-30,52.59,$-3.88,0.0
2016-06-30,56.71,$-3.75,0.0
2016-03-31,53.68,$-4.67,0.0
2015-12-31,48.15,$-2.56,0.0
2015-09-30,44.79,$-0.45,0.0
2015-06-30,45.16,$-0.08,0.0
2015-03-31,42.23,$0.15,286.88
2014-12-31,41.2,$-0.49,0.0
2014-09-30,34.37,$-1.76,0.0
2014-06-30,39.0,$-1.43,0.0
2014-03-31,34.33,$-1.05,0.0
2013-12-31,32.42,$-1.65,0.0
2013-09-30,28.16,$-1.46,0.0
2013-06-30,27.42,$-1.35,0.0
2013-03-31,25.92,$-0.49,0.0
2012-12-31,23.82,$-0.27,0.0
2012-09-30,24.65,$1.39,17.76
2012-06-30,22.58,$0.99,22.77
2012-03-31,21.06,$1.43,14.73
2011-12-31,22.02,$1.73,12.74
2011-09-30,20.21,$0.47,42.71
2011-06-30,19.99,$0.76,26.24
2011-03-31,20.59,$0.08,263.67
2010-12-31,20.38,$1.09,18.78
2010-09-30,17.63,$1.04,16.87
2010-06-30,15.14,$1.37,11.07
2010-03-31,14.22,$1.96,7.26
2009-12-31,15.13,$1.72,8.8
