DURECT Price to Free Cash Flow Ratio Historical Data,DURECT Price to Free Cash Flow Ratio Historical Data,DURECT Price to Free Cash Flow Ratio Historical Data,DURECT Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.8,,0.0
2024-09-30,1.34,$-0.78,0.0
2024-06-30,1.29,$-0.87,0.0
2024-03-31,1.21,$-1.13,0.0
2023-12-31,0.59,$-1.30,0.0
2023-09-30,2.49,$-1.32,0.0
2023-06-30,4.95,$-1.23,0.0
2023-03-31,4.53,$-1.30,0.0
2022-12-31,3.46,$-1.16,0.0
2022-09-30,5.78,$-1.30,0.0
2022-06-30,4.78,$-1.53,0.0
2022-03-31,6.7,$-1.42,0.0
2021-12-31,9.86,$-1.67,0.0
2021-09-30,12.8,$-1.49,0.0
2021-06-30,16.3,$-1.62,0.0
2021-03-31,19.8,$-1.67,0.0
2020-12-31,20.7,$-1.84,0.0
2020-09-30,17.1,$-1.31,0.0
2020-06-30,23.2,$0.23,100.3
2020-03-31,15.5,$0.26,60.64
2019-12-31,38.0,$0.57,67.07
2019-09-30,18.4,$-0.03,0.0
2019-06-30,6.52,$-1.17,0.0
2019-03-31,6.26,$-1.16,0.0
2018-12-31,4.83,$-1.24,0.0
2018-09-30,11.0,$-1.34,0.0
2018-06-30,15.6,$-1.12,0.0
2018-03-31,21.4,$0.11,196.33
2017-12-31,9.22,$-0.10,0.0
2017-09-30,17.7,$-0.22,0.0
2017-06-30,15.6,$-0.76,0.0
2017-03-31,10.5,$-2.18,0.0
2016-12-31,13.4,$-2.06,0.0
2016-09-30,13.9,$-1.98,0.0
2016-06-30,12.2,$-2.03,0.0
2016-03-31,13.5,$-1.83,0.0
2015-12-31,22.1,$-1.78,0.0
2015-09-30,19.5,$-1.52,0.0
2015-06-30,23.9,$-1.50,0.0
2015-03-31,19.1,$-1.55,0.0
2014-12-31,7.89,$-1.32,0.0
2014-09-30,14.7,$-1.42,0.0
2014-06-30,18.2,$-1.39,0.0
2014-03-31,13.3,$-1.42,0.0
2013-12-31,17.3,$-1.51,0.0
2013-09-30,13.4,$-1.56,0.0
2013-06-30,10.5,$-1.49,0.0
2013-03-31,13.3,$-1.38,0.0
2012-12-31,9.2,$-1.55,0.0
2012-09-30,14.4,$-1.64,0.0
2012-06-30,9.1,$-1.59,0.0
2012-03-31,8.0,$-1.82,0.0
2011-12-31,11.8,$-2.27,0.0
2011-09-30,16.1,$-2.19,0.0
2011-06-30,20.3,$-2.40,0.0
2011-03-31,36.0,$0.57,63.65
2010-12-31,34.5,$0.86,39.92
2010-09-30,25.4,$0.64,39.77
2010-06-30,24.3,$0.59,41.41
2010-03-31,30.1,$-2.51,0.0
2009-12-31,24.7,$-2.54,0.0
