Ontrak Price to Free Cash Flow Ratio Historical Data,Ontrak Price to Free Cash Flow Ratio Historical Data,Ontrak Price to Free Cash Flow Ratio Historical Data,Ontrak Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.52,,0.11
2024-09-30,2.43,$13.64,0.18
2024-06-30,3.09,$8.29,0.37
2024-03-31,7.6,$-6.09,0.0
2023-12-31,6.02,$-21.21,0.0
2023-09-30,12.98,$-47.13,0.0
2023-06-30,42.48,$-63.94,0.0
2023-03-31,47.52,$-66.44,0.0
2022-12-31,33.08,$-97.15,0.0
2022-09-30,42.3,$-163.43,0.0
2022-06-30,95.4,$-215.33,0.0
2022-03-31,203.85,$-222.93,0.0
2021-12-31,566.1,$-147.69,0.0
2021-09-30,903.6,$-75.91,0.0
2021-06-30,2923.2,$-17.04,0.0
2021-03-31,2930.4,$3.38,866.98
2020-12-31,5561.1,$-42.25,0.0
2020-09-30,5400.0,$-60.22,0.0
2020-06-30,2226.6,$-81.79,0.0
2020-03-31,1370.7,$-85.41,0.0
2019-12-31,1467.9,$-92.58,0.0
2019-09-30,1418.4,$-78.39,0.0
2019-06-30,1729.8,$-59.54,0.0
2019-03-31,1100.7,$-53.26,0.0
2018-12-31,843.3,$-48.38,0.0
2018-09-30,1156.5,$-80.41,0.0
2018-06-30,604.8,$-51.81,0.0
2018-03-31,432.0,$-70.44,0.0
