BEST Price to Free Cash Flow Ratio Historical Data,BEST Price to Free Cash Flow Ratio Historical Data,BEST Price to Free Cash Flow Ratio Historical Data,BEST Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-07,2.78,,0.0
2024-03-31,2.2,$-3.30,0.0
2023-12-31,2.55,$-3.46,0.0
2023-09-30,2.22,$-4.40,0.0
2023-06-30,2.13,$-4.21,0.0
2023-03-31,3.16,$-5.37,0.0
2022-12-31,2.2,$-6.62,0.0
2022-09-30,2.76,$-14.85,0.0
2022-06-30,4.72,$-22.49,0.0
2022-03-31,12.9,$-21.09,0.0
2021-12-31,17.03,$-23.83,0.0
2021-09-30,33.4,$-25.94,0.0
2021-06-30,35.6,$-15.98,0.0
2021-03-31,37.6,$-9.97,0.0
2020-12-31,40.8,$-14.15,0.0
2020-09-30,60.0,$-10.37,0.0
2020-06-30,85.6,$-2.13,0.0
2020-03-31,107.0,$-12.08,0.0
2019-12-31,111.2,$-4.28,0.0
2019-09-30,105.6,$-11.45,0.0
2019-06-30,110.2,$-19.67,0.0
2019-03-31,104.6,$-16.36,0.0
2018-12-31,82.2,$-14.78,0.0
2018-09-30,118.4,$-0.69,0.0
