ADT Price to Free Cash Flow Ratio Historical Data,ADT Price to Free Cash Flow Ratio Historical Data,ADT Price to Free Cash Flow Ratio Historical Data,ADT Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,7.76,,6.24
2024-12-31,6.91,$1.24,5.56
2024-09-30,7.18,$1.14,6.3
2024-06-30,7.48,$1.05,7.14
2024-03-31,6.57,$0.96,6.81
2023-12-31,6.61,$0.87,7.57
2023-09-30,5.79,$0.98,5.89
2023-06-30,5.78,$1.04,5.56
2023-03-31,6.89,$1.01,6.8
2022-12-31,8.6,$1.01,8.54
2022-09-30,7.08,$1.01,7.01
2022-06-30,5.79,$0.88,6.57
2022-03-31,7.1,$0.83,8.54
2021-12-31,7.84,$0.95,8.22
2021-09-30,7.51,$0.85,8.78
2021-06-30,9.97,$0.91,10.93
2021-03-31,7.77,$1.03,7.55
2020-12-31,7.2,$1.02,7.08
2020-09-30,7.46,$1.12,6.64
2020-06-30,7.26,$1.31,5.53
2020-03-31,3.91,$1.34,2.93
2019-12-31,7.12,$1.57,4.54
2019-09-30,5.18,$1.51,3.43
2019-06-30,5.03,$1.43,3.52
2019-03-31,5.19,$1.42,3.64
2018-12-31,4.88,$1.45,3.36
