Thomson Reuters Corp Price to Free Cash Flow Ratio Historical Data,Thomson Reuters Corp Price to Free Cash Flow Ratio Historical Data,Thomson Reuters Corp Price to Free Cash Flow Ratio Historical Data,Thomson Reuters Corp Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,170.09,,41.49
2024-12-31,160.38,$4.10,39.12
2024-09-30,170.03,$4.40,38.63
2024-06-30,167.46,$4.26,39.32
2024-03-31,154.31,$4.24,36.4
2023-12-31,144.3,$3.87,37.26
2023-09-30,120.27,$3.80,31.68
2023-06-30,132.18,$3.38,39.13
2023-03-31,131.71,$2.77,47.57
2022-12-31,115.0,$2.72,42.25
2022-09-30,103.05,$2.19,47.16
2022-06-30,104.24,$2.25,46.37
2022-03-31,108.38,$0.30,359.7
2021-12-31,118.57,$2.70,43.95
2021-09-30,109.14,$3.09,35.27
2021-06-30,97.76,$3.41,28.66
2021-03-31,85.83,$5.43,15.81
2020-12-31,79.88,$2.92,27.34
2020-09-30,77.45,$2.41,32.16
2020-06-30,65.66,$1.52,43.13
2020-03-31,65.19,$0.88,74.29
2019-12-31,68.44,$0.42,162.53
2019-09-30,63.61,$-0.17,0.0
2019-06-30,60.98,$0.66,92.75
2019-03-31,55.7,$1.65,33.7
2018-12-31,45.15,$2.35,19.22
2018-09-30,46.68,$3.25,14.35
2018-06-30,40.87,$3.18,12.87
2018-03-31,38.83,$3.27,11.87
2017-12-31,43.42,$2.18,19.96
2017-09-30,45.35,$2.54,17.83
2017-06-30,45.41,$2.35,19.29
2017-03-31,42.08,$2.09,20.15
2016-12-31,42.29,$3.17,13.33
2016-09-30,39.64,$3.07,12.91
2016-06-30,38.41,$2.93,13.11
2016-03-31,38.14,$3.15,12.1
2015-12-31,35.33,$2.75,12.85
2015-09-30,37.27,$2.52,14.78
2015-06-30,34.95,$2.32,15.07
2015-03-31,36.93,$2.16,17.1
2014-12-31,36.42,$2.04,17.88
2014-09-30,32.59,$1.44,22.56
2014-06-30,32.26,$1.57,20.49
2014-03-31,30.06,$1.65,18.26
2013-12-31,32.92,$1.51,21.79
2013-09-30,30.22,$2.25,13.4
2013-06-30,27.84,$2.12,13.12
2013-03-31,27.5,$1.18,23.24
2012-12-31,24.34,$2.33,10.43
2012-09-30,23.89,$2.17,11.03
2012-06-30,23.3,$2.84,8.19
2012-03-31,23.4,$3.64,6.43
2011-12-31,21.34,$2.70,7.9
2011-09-30,21.4,$2.87,7.46
2011-06-30,29.44,$2.02,14.54
2011-03-31,30.51,$2.06,14.81
2010-12-31,28.76,$2.16,13.31
2010-09-30,28.73,$2.00,14.38
2010-06-30,27.21,$2.01,13.51
2010-03-31,27.35,$2.14,12.78
2009-12-31,24.1,$2.23,10.83
