Strawberry Fields REIT Price to Free Cash Flow Ratio Historical Data,Strawberry Fields REIT Price to Free Cash Flow Ratio Historical Data,Strawberry Fields REIT Price to Free Cash Flow Ratio Historical Data,Strawberry Fields REIT Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,12.1,,0.0
2024-12-31,10.54,$-7.66,0.0
2024-09-30,12.69,$3.27,3.88
2024-06-30,11.41,$-8.81,0.0
2024-03-31,7.95,$-8.64,0.0
2023-12-31,7.72,$-8.35,0.0
