Gladstone Capital Price to Free Cash Flow Ratio Historical Data,Gladstone Capital Price to Free Cash Flow Ratio Historical Data,Gladstone Capital Price to Free Cash Flow Ratio Historical Data,Gladstone Capital Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,27.45,,11.31
2024-12-31,28.44,$2.43,11.72
2024-09-30,23.39,$0.15,157.18
2024-06-30,22.16,$1.62,13.69
2024-03-31,19.98,$-1.29,0.0
2023-12-31,19.46,$-3.75,0.0
2023-09-30,17.1,$-0.58,0.0
2023-06-30,16.86,$-5.15,0.0
2023-03-31,15.84,$-6.98,0.0
2022-12-31,15.85,$-2.15,0.0
2022-09-30,13.69,$-4.45,0.0
2022-06-30,15.95,$-2.37,0.0
2022-03-31,18.29,$1.64,11.16
2021-12-31,17.68,$-1.94,0.0
2021-09-30,16.95,$-0.85,0.0
2021-06-30,16.86,$0.98,17.12
2021-03-31,14.37,$-1.94,0.0
2020-12-31,12.58,$-0.62,0.0
2020-09-30,10.28,$-2.97,0.0
2020-06-30,9.88,$-2.82,0.0
2020-03-31,7.37,$-1.38,0.0
2019-12-31,12.7,$2.08,6.09
2019-09-30,12.21,$0.63,19.31
2019-06-30,11.49,$0.25,45.87
2019-03-31,10.79,$1.80,5.99
2018-12-31,8.54,$-1.57,0.0
2018-09-30,10.85,$-1.31,0.0
2018-06-30,10.06,$-1.56,0.0
2018-03-31,9.39,$-4.25,0.0
2017-12-31,9.82,$-6.35,0.0
2017-09-30,9.91,$-1.02,0.0
2017-06-30,10.04,$-0.36,0.0
2017-03-31,9.48,$0.56,17.06
2016-12-31,9.18,$1.89,4.86
2016-09-30,7.75,$5.17,1.5
2016-06-30,6.73,$2.33,2.89
2016-03-31,6.73,$4.99,1.35
2015-12-31,6.38,$2.78,2.29
2015-09-30,6.91,$-7.07,0.0
2015-06-30,6.55,$-4.83,0.0
2015-03-31,7.13,$-5.46,0.0
2014-12-31,6.52,$-3.87,0.0
2014-09-30,6.75,$0.05,149.99
2014-06-30,7.58,$1.10,6.9
2014-03-31,7.43,$0.99,7.5
2013-12-31,6.91,$2.09,3.3
2013-09-30,6.16,$3.06,2.01
2013-06-30,5.62,$5.05,1.11
2013-03-31,6.18,$2.62,2.36
2012-12-31,5.36,$2.44,2.2
2012-09-30,5.6,$2.49,2.25
2012-06-30,4.93,$-1.14,0.0
2012-03-31,4.94,$-5.06,0.0
2011-12-31,4.53,$-5.21,0.0
2011-09-30,3.96,$-6.50,0.0
2011-06-30,5.21,$-4.47,0.0
2011-03-31,6.25,$3.85,1.62
2010-12-31,6.25,$6.41,0.98
2010-09-30,6.0,$8.21,0.73
2010-06-30,5.65,$7.97,0.71
2010-03-31,6.06,$10.93,0.55
2009-12-31,3.86,$10.49,0.37
