FactSet Research Systems Price to Free Cash Flow Ratio Historical Data,FactSet Research Systems Price to Free Cash Flow Ratio Historical Data,FactSet Research Systems Price to Free Cash Flow Ratio Historical Data,FactSet Research Systems Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,430.93,,31.01
2024-11-30,490.67,$13.90,35.3
2024-08-31,421.95,$15.92,26.51
2024-05-31,402.42,$16.38,24.57
2024-02-29,460.47,$15.72,29.28
2023-11-30,450.44,$16.34,27.56
2023-08-31,432.57,$15.03,28.77
2023-05-31,380.65,$14.52,26.21
2023-02-28,408.95,$14.13,28.95
2022-11-30,454.1,$13.19,34.43
2022-08-31,425.74,$12.58,33.86
2022-05-31,374.33,$13.48,27.77
2022-02-28,397.25,$12.10,32.84
2021-11-30,457.45,$12.64,36.2
2021-08-31,370.55,$12.81,28.94
2021-05-31,325.15,$12.10,26.87
2021-02-28,294.81,$12.57,23.46
2020-11-30,322.93,$11.12,29.03
2020-08-31,338.22,$11.08,30.53
2020-05-31,296.17,$9.84,30.09
2020-02-29,255.53,$9.97,25.63
2019-11-30,248.8,$10.30,24.15
2019-08-31,260.01,$9.46,27.48
2019-05-31,265.14,$9.26,28.65
2019-02-28,223.55,$8.61,25.97
2018-11-30,222.3,$8.50,26.16
2018-08-31,217.46,$8.94,24.32
2018-05-31,190.02,$8.90,21.34
2018-02-28,191.46,$7.93,24.14
2017-11-30,187.84,$7.59,24.76
2017-08-31,147.3,$7.16,20.58
2017-05-31,154.71,$6.28,24.64
2017-02-28,165.54,$6.31,26.26
2016-11-30,148.64,$6.47,22.99
2016-08-31,164.7,$6.85,24.04
2016-05-31,146.75,$7.24,20.27
2016-02-29,138.39,$7.39,18.73
2015-11-30,155.45,$6.43,24.18
2015-08-31,144.43,$6.65,21.73
2015-05-31,150.64,$6.39,23.58
2015-02-28,141.49,$6.23,22.72
2014-11-30,124.37,$6.12,20.33
2014-08-31,115.27,$5.75,20.03
2014-05-31,96.65,$5.85,16.52
2014-02-28,94.63,$5.76,16.44
2013-11-30,101.22,$5.85,17.32
2013-08-31,91.4,$5.63,16.23
2013-05-31,87.39,$5.17,16.9
2013-02-28,86.28,$4.63,18.64
2012-11-30,81.68,$4.51,18.13
2012-08-31,81.3,$4.57,17.78
2012-05-31,92.58,$4.79,19.34
2012-02-29,76.53,$4.47,17.11
2011-11-30,81.39,$4.51,18.04
2011-08-31,76.51,$3.75,20.38
2011-05-31,96.19,$3.72,25.85
2011-02-28,90.78,$3.90,23.3
2010-11-30,76.57,$3.88,19.71
2010-08-31,63.35,$3.96,15.98
2010-05-31,58.44,$3.90,14.98
2010-02-28,56.65,$3.81,14.88
2009-11-30,61.73,$4.14,14.9
