PNC Financial Services Price to Free Cash Flow Ratio Historical Data,PNC Financial Services Price to Free Cash Flow Ratio Historical Data,PNC Financial Services Price to Free Cash Flow Ratio Historical Data,PNC Financial Services Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,173.41,,8.8
2024-12-31,192.85,$19.70,9.79
2024-09-30,183.31,$27.30,6.72
2024-06-30,152.74,$19.40,7.87
2024-03-31,157.13,$24.94,6.3
2023-12-31,149.02,$25.21,5.91
2023-09-30,116.61,$22.88,5.1
2023-06-30,118.18,$30.88,3.83
2023-03-31,117.84,$29.07,4.05
2022-12-31,145.11,$22.05,6.58
2022-09-30,135.92,$20.49,6.63
2022-06-30,142.16,$15.76,9.02
2022-03-31,164.83,$12.75,12.93
2021-12-31,178.18,$16.93,10.52
2021-09-30,172.78,$13.25,13.04
2021-06-30,167.37,$10.58,15.82
2021-03-31,152.89,$14.36,10.65
2020-12-31,128.92,$10.91,11.82
2020-09-30,94.11,$13.28,7.08
2020-06-30,89.11,$13.85,6.44
2020-03-31,80.07,$11.74,6.82
2019-12-31,132.54,$16.44,8.06
2019-09-30,115.43,$14.02,8.24
2019-06-30,112.13,$15.13,7.41
2019-03-31,99.47,$13.61,7.31
2018-12-31,94.07,$16.68,5.64
2018-09-30,108.76,$13.93,7.81
2018-06-30,107.16,$16.55,6.48
2018-03-31,119.35,$14.39,8.3
2017-12-31,113.31,$11.48,9.87
2017-09-30,105.25,$12.13,8.67
2017-06-30,96.94,$10.04,9.66
2017-03-31,92.91,$9.69,9.59
2016-12-31,89.95,$7.00,12.85
2016-09-30,68.86,$8.25,8.35
2016-06-30,61.8,$8.96,6.89
2016-03-31,63.83,$10.66,5.99
2015-12-31,71.52,$10.60,6.74
2015-09-30,66.55,$8.86,7.51
2015-06-30,70.99,$7.12,9.97
2015-03-31,68.82,$7.33,9.39
2014-12-31,66.96,$10.40,6.44
2014-09-30,62.45,$7.93,7.88
2014-06-30,64.62,$13.50,4.79
2014-03-31,62.76,$12.09,5.19
2013-12-31,55.65,$10.44,5.33
2013-09-30,51.66,$13.28,3.89
2013-06-30,51.69,$9.06,5.71
2013-03-31,46.82,$9.54,4.91
2012-12-31,40.78,$12.87,3.17
2012-09-30,43.86,$13.39,3.28
2012-06-30,42.2,$11.64,3.63
2012-03-31,44.24,$15.34,2.89
2011-12-31,39.34,$11.47,3.43
2011-09-30,32.64,$9.53,3.42
2011-06-30,40.13,$8.18,4.9
2011-03-31,42.17,$6.09,6.92
2010-12-31,40.58,$9.25,4.39
2010-09-30,34.63,$15.60,2.22
2010-06-30,37.63,$17.77,2.12
2010-03-31,39.7,$15.23,2.61
2009-12-31,35.04,$12.65,2.77
