Nxu Price to Free Cash Flow Ratio Historical Data,Nxu Price to Free Cash Flow Ratio Historical Data,Nxu Price to Free Cash Flow Ratio Historical Data,Nxu Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.26,,0.01
2024-09-30,0.25,$21.39,0.01
2024-06-30,0.37,$23.28,0.02
2024-03-31,0.68,$21.86,0.03
2023-12-31,2.3,$-53.25,0.0
2023-09-30,0.2,$-223.35,0.0
2023-06-30,0.53,$-548.44,0.0
