Polestar Automotive Holding UK Price to Free Cash Flow Ratio Historical Data,Polestar Automotive Holding UK Price to Free Cash Flow Ratio Historical Data,Polestar Automotive Holding UK Price to Free Cash Flow Ratio Historical Data,Polestar Automotive Holding UK Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.08,,0.0
2023-12-31,2.26,$-0.87,0.0
2023-09-30,2.64,$-0.72,0.0
2023-06-30,3.82,$-0.68,0.0
2023-03-31,3.79,$-0.72,0.0
2022-12-31,5.31,$-0.55,0.0
2022-09-30,5.06,$-0.53,0.0
2022-06-30,8.81,$-0.28,0.0
2022-03-31,11.37,$-0.16,0.0
