Cocrystal Pharma Price to Free Cash Flow Ratio Historical Data,Cocrystal Pharma Price to Free Cash Flow Ratio Historical Data,Cocrystal Pharma Price to Free Cash Flow Ratio Historical Data,Cocrystal Pharma Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.55,,0.0
2024-09-30,1.76,$-1.72,0.0
2024-06-30,2.33,$-1.47,0.0
2024-03-31,1.4,$-1.59,0.0
2023-12-31,1.72,$-1.53,0.0
2023-09-30,1.87,$-1.73,0.0
2023-06-30,2.39,$-2.57,0.0
2023-03-31,1.99,$-2.55,0.0
2022-12-31,1.95,$-2.64,0.0
2022-09-30,3.49,$-2.56,0.0
2022-06-30,4.92,$-2.06,0.0
2022-03-31,6.6,$-1.91,0.0
2021-12-31,7.8,$-1.73,0.0
2021-09-30,12.6,$-1.79,0.0
2021-06-30,15.0,$-1.74,0.0
2021-03-31,16.68,$-1.83,0.0
2020-12-31,16.32,$-2.19,0.0
2020-09-30,11.16,$-2.07,0.0
2020-06-30,18.24,$-2.07,0.0
2020-03-31,8.52,$-2.09,0.0
2019-12-31,5.95,$-0.64,0.0
2019-09-30,24.6,$-1.21,0.0
2019-06-30,28.2,$-1.39,0.0
2019-03-31,32.76,$-1.75,0.0
2018-12-31,43.2,$-3.57,0.0
