Brilliant Earth Price to Free Cash Flow Ratio Historical Data,Brilliant Earth Price to Free Cash Flow Ratio Historical Data,Brilliant Earth Price to Free Cash Flow Ratio Historical Data,Brilliant Earth Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.47,,11.4
2024-12-31,2.1,$0.13,16.28
2024-09-30,2.14,$0.15,13.82
2024-06-30,2.22,$0.13,17.04
2024-03-31,2.99,$0.64,4.65
2023-12-31,3.72,$0.15,25.31
2023-09-30,2.95,$0.08,37.06
2023-06-30,3.88,$0.07,59.6
2023-03-31,3.91,$-0.49,0.0
2022-12-31,4.31,$0.06,77.24
2022-09-30,5.73,$0.14,41.19
2022-06-30,4.75,$0.43,11.13
