Telesat Price to Free Cash Flow Ratio Historical Data,Telesat Price to Free Cash Flow Ratio Historical Data,Telesat Price to Free Cash Flow Ratio Historical Data,Telesat Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,21.54,,0.0
2024-09-30,13.17,$-0.24,0.0
2024-06-30,9.1,$3.68,2.47
2024-03-31,8.52,$6.62,1.29
2023-12-31,10.43,$6.11,1.71
2023-09-30,14.3,$10.91,1.31
2023-06-30,9.42,$12.93,0.73
2023-03-31,8.6,$12.82,0.67
2022-12-31,7.5,$12.26,0.61
2022-09-30,7.81,$13.30,0.59
2022-06-30,11.17,$8.10,1.38
2022-03-31,16.5,$6.65,2.48
2021-12-31,28.67,$4.48,6.4
2021-09-30,43.01,$-0.55,0.0
2021-06-30,38.85,$-0.39,0.0
2021-03-31,37.67,$-0.43,0.0
2020-12-31,20.99,$-0.35,0.0
2020-09-30,17.08,$-0.12,0.0
2020-06-30,18.22,$-0.19,0.0
2020-03-31,15.17,$-0.05,0.0
2019-12-31,30.16,$0.07,440.97
2019-09-30,38.64,$0.27,143.74
2019-06-30,32.21,$0.24,132.32
2019-03-31,33.64,$0.16,205.9
2018-12-31,34.76,$0.06,596.28
2018-09-30,42.37,$-0.33,0.0
2018-06-30,35.09,$-0.39,0.0
2018-03-31,38.87,$-0.70,0.0
2017-12-31,41.11,$-0.80,0.0
2017-09-30,46.2,$-0.83,0.0
2017-06-30,38.78,$-0.90,0.0
2017-03-31,36.77,$-0.66,0.0
2016-12-31,38.31,$-0.69,0.0
2016-09-30,36.5,$-0.63,0.0
2016-06-30,32.92,$-0.76,0.0
2016-03-31,32.78,$-0.86,0.0
2015-12-31,37.99,$-0.93,0.0
2015-09-30,43.94,$-0.59,0.0
2015-06-30,58.91,$-1.32,0.0
2015-03-31,63.87,$-1.26,0.0
2014-12-31,73.46,$-0.94,0.0
2014-09-30,67.02,$-1.63,0.0
2014-06-30,67.84,$-0.64,0.0
2014-03-31,66.01,$-0.85,0.0
2013-12-31,75.57,$-2.28,0.0
2013-09-30,63.21,$-4.02,0.0
2013-06-30,55.98,$-3.34,0.0
2013-03-31,57.75,$-4.84,0.0
2012-12-31,51.01,$-3.24,0.0
2012-09-30,43.08,$-1.39,0.0
2012-06-30,40.81,$0.25,166.1
2012-03-31,39.99,$5.05,7.92
2011-12-31,32.6,$3.82,8.53
2011-09-30,25.17,$4.99,5.04
2011-06-30,34.9,$3.78,9.23
2011-03-31,38.96,$0.56,69.16
2010-12-31,38.44,$0.75,51.02
2010-09-30,26.23,$-0.23,0.0
2010-06-30,21.46,$1.03,20.76
2010-03-31,17.65,$1.14,15.48
2009-12-31,15.88,$3.70,4.29
