Goodyear Tire & Rubber Price to Free Cash Flow Ratio Historical Data,Goodyear Tire & Rubber Price to Free Cash Flow Ratio Historical Data,Goodyear Tire & Rubber Price to Free Cash Flow Ratio Historical Data,Goodyear Tire & Rubber Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,9.31,,0.0
2024-12-31,9.0,$-1.30,0.0
2024-09-30,8.85,$-1.32,0.0
2024-06-30,11.35,$-0.24,0.0
2024-03-31,13.73,$1.42,9.7
2023-12-31,14.32,$-0.01,0.0
2023-09-30,12.43,$-0.46,0.0
2023-06-30,13.68,$-1.53,0.0
2023-03-31,11.02,$-2.03,0.0
2022-12-31,10.15,$-1.71,0.0
2022-09-30,10.09,$-2.12,0.0
2022-06-30,10.71,$-1.36,0.0
2022-03-31,14.29,$-1.09,0.0
2021-12-31,21.32,$0.36,59.26
2021-09-30,17.7,$2.80,6.33
2021-06-30,17.15,$5.21,3.29
2021-03-31,17.57,$3.34,5.27
2020-12-31,10.91,$2.00,5.46
2020-09-30,7.67,$1.81,4.24
2020-06-30,8.95,$-0.18,0.0
2020-03-31,5.82,$1.15,5.06
2019-12-31,15.37,$1.93,7.97
2019-09-30,14.09,$0.14,99.71
2019-06-30,14.79,$-0.33,0.0
2019-03-31,17.4,$0.54,32.42
2018-12-31,19.42,$0.45,43.38
2018-09-30,22.09,$1.73,12.8
2018-06-30,21.87,$1.62,13.46
2018-03-31,24.82,$0.70,35.28
2017-12-31,30.05,$1.14,26.31
2017-09-30,30.79,$0.56,54.63
2017-06-30,32.27,$1.57,20.56
2017-03-31,33.14,$2.37,13.97
2016-12-31,28.32,$2.24,12.64
2016-09-30,29.53,$1.40,21.06
2016-06-30,23.4,$1.58,14.84
2016-03-31,30.01,$2.35,12.75
2015-12-31,29.65,$2.96,10.03
2015-09-30,26.56,$3.52,7.55
2015-06-30,27.25,$2.91,9.37
2015-03-31,24.42,$3.35,7.28
2014-12-31,25.71,$-2.09,0.0
2014-09-30,20.27,$-2.76,0.0
2014-06-30,24.87,$-3.05,0.0
2014-03-31,23.35,$-3.10,0.0
2013-12-31,21.26,$-0.83,0.0
2013-09-30,19.97,$-0.08,0.0
2013-06-30,13.61,$-0.33,0.0
2013-03-31,11.21,$-0.95,0.0
2012-12-31,12.28,$-0.30,0.0
2012-09-30,10.84,$1.69,6.43
2012-06-30,10.5,$0.80,13.17
2012-03-31,9.98,$-2.02,0.0
2011-12-31,12.6,$-0.72,0.0
2011-09-30,8.97,$-4.20,0.0
2011-06-30,14.92,$-4.23,0.0
2011-03-31,13.32,$-2.92,0.0
2010-12-31,10.54,$-0.08,0.0
2010-09-30,9.56,$0.37,25.59
2010-06-30,8.84,$3.06,2.89
2010-03-31,11.24,$4.46,2.52
2009-12-31,12.54,$2.29,5.49
