Newell Brands Price to Free Cash Flow Ratio Historical Data,Newell Brands Price to Free Cash Flow Ratio Historical Data,Newell Brands Price to Free Cash Flow Ratio Historical Data,Newell Brands Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,6.54,,11.47
2024-12-31,9.96,$0.57,17.46
2024-09-30,7.62,$0.87,8.81
2024-06-30,6.3,$1.12,5.63
2024-03-31,7.82,$1.88,4.16
2023-12-31,8.38,$1.56,5.37
2023-09-30,8.63,$1.64,5.28
2023-06-30,8.26,$0.35,23.93
2023-03-31,11.72,$-0.98,0.0
2022-12-31,12.13,$-1.40,0.0
2022-09-30,12.66,$-1.23,0.0
2022-06-30,17.14,$0.06,287.11
2022-03-31,19.07,$0.77,24.78
2021-12-31,19.27,$1.39,13.86
2021-09-30,19.34,$1.93,10.02
2021-06-30,23.78,$2.59,9.19
2021-03-31,22.99,$2.66,8.63
2020-12-31,18.05,$2.77,6.53
2020-09-30,14.43,$2.80,5.16
2020-06-30,13.17,$2.22,5.93
2020-03-31,10.83,$2.37,4.58
2019-12-31,15.44,$1.84,8.4
2019-09-30,14.86,$1.42,10.5
2019-06-30,12.07,$1.55,7.79
2019-03-31,11.81,$1.04,11.38
2018-12-31,14.11,$0.62,22.58
2018-09-30,15.41,$1.60,9.65
2018-06-30,19.37,$0.75,25.83
2018-03-31,18.96,$0.88,21.67
2017-12-31,22.8,$1.15,19.87
2017-09-30,31.25,$1.52,20.53
2017-06-30,39.08,$2.12,18.44
2017-03-31,34.23,$3.73,9.18
2016-12-31,32.28,$3.32,9.72
2016-09-30,37.92,$2.05,18.49
2016-06-30,34.85,$2.29,15.19
2016-03-31,31.65,$1.00,31.69
2015-12-31,31.35,$1.41,22.31
2015-09-30,28.12,$1.39,20.18
2015-06-30,28.98,$1.48,19.58
2015-03-31,27.41,$1.45,18.96
2014-12-31,26.59,$1.76,15.1
2014-09-30,23.91,$2.39,9.99
2014-06-30,21.43,$2.42,8.84
2014-03-31,20.55,$2.35,8.75
2013-12-31,22.17,$2.25,9.85
2013-09-30,18.72,$1.46,12.8
2013-06-30,17.76,$1.21,14.73
2013-03-31,17.56,$1.29,13.58
2012-12-31,14.89,$1.50,9.91
2012-09-30,12.67,$1.63,7.8
2012-06-30,11.98,$1.56,7.68
2012-03-31,11.7,$1.48,7.9
2011-12-31,10.56,$1.29,8.17
2011-09-30,7.72,$0.97,7.96
2011-06-30,10.2,$0.67,15.27
2011-03-31,12.31,$0.92,13.43
2010-12-31,11.67,$1.42,8.2
2010-09-30,11.4,$1.46,7.79
2010-06-30,9.34,$1.90,4.93
2010-03-31,9.67,$1.73,5.57
2009-12-31,9.51,$1.59,6.0
