AptarGroup Price to Free Cash Flow Ratio Historical Data,AptarGroup Price to Free Cash Flow Ratio Historical Data,AptarGroup Price to Free Cash Flow Ratio Historical Data,AptarGroup Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,145.2,,26.68
2024-12-31,157.1,$5.44,28.86
2024-09-30,159.76,$5.84,27.35
2024-06-30,139.99,$4.93,28.41
2024-03-31,142.63,$3.94,36.18
2023-12-31,122.15,$4.01,30.47
2023-09-30,123.14,$3.25,37.87
2023-06-30,113.71,$2.54,44.86
2023-03-31,115.63,$2.55,45.37
2022-12-31,107.25,$2.52,42.52
2022-09-30,92.32,$1.41,65.39
2022-06-30,99.9,$0.71,140.49
2022-03-31,113.34,$1.06,106.94
2021-12-31,117.76,$0.90,131.23
2021-09-30,114.41,$2.49,45.89
2021-06-30,134.61,$3.94,34.2
2021-03-31,135.07,$4.71,28.66
2020-12-31,130.17,$4.94,26.34
2020-09-30,107.31,$4.37,24.53
2020-06-30,105.83,$4.35,24.34
2020-03-31,93.77,$4.14,22.67
2019-12-31,108.58,$4.18,25.98
2019-09-30,110.9,$3.55,31.22
2019-06-30,116.08,$2.09,55.61
2019-03-31,99.0,$1.83,54.14
2018-12-31,87.54,$1.64,53.22
2018-09-30,99.92,$1.42,70.38
2018-06-30,86.32,$2.38,36.28
2018-03-31,82.75,$2.78,29.75
2017-12-31,79.19,$2.63,30.07
2017-09-30,78.93,$3.58,22.02
2017-06-30,79.15,$3.89,20.33
2017-03-31,69.87,$3.29,21.23
2016-12-31,66.37,$3.05,21.74
2016-09-30,69.64,$2.51,27.76
2016-06-30,70.92,$1.89,37.57
2016-03-31,70.01,$2.32,30.19
2015-12-31,64.57,$2.72,23.76
2015-09-30,58.4,$3.16,18.47
2015-06-30,56.2,$3.26,17.24
2015-03-31,55.73,$2.72,20.47
2014-12-31,58.39,$2.37,24.63
2014-09-30,52.78,$1.86,28.38
2014-06-30,58.01,$1.76,32.88
2014-03-31,56.99,$1.95,29.2
2013-12-31,58.23,$1.98,29.42
2013-09-30,51.44,$2.37,21.66
2013-06-30,47.03,$2.83,16.63
2013-03-31,48.63,$2.39,20.31
2012-12-31,40.27,$2.08,19.33
2012-09-30,43.45,$1.31,33.15
2012-06-30,42.7,$1.21,35.2
2012-03-31,45.63,$1.20,38.03
2011-12-31,43.28,$1.20,36.04
2011-09-30,36.89,$1.73,21.31
2011-06-30,43.04,$1.10,39.2
2011-03-31,41.08,$1.71,24.03
2010-12-31,38.83,$2.31,16.81
2010-09-30,37.13,$1.67,22.21
2010-06-30,30.62,$2.00,15.32
2010-03-31,31.75,$1.91,16.66
2009-12-31,28.72,$1.96,14.68
