FiscalNote Holdings Price to Free Cash Flow Ratio Historical Data,FiscalNote Holdings Price to Free Cash Flow Ratio Historical Data,FiscalNote Holdings Price to Free Cash Flow Ratio Historical Data,FiscalNote Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.99,,0.0
2024-09-30,1.28,$-0.12,0.0
2024-06-30,1.46,$-0.19,0.0
2024-03-31,1.33,$-0.21,0.0
2023-12-31,1.14,$-0.33,0.0
2023-09-30,2.08,$-0.87,0.0
2023-06-30,3.64,$-0.16,0.0
2023-03-31,2.23,$-0.72,0.0
2022-12-31,6.33,$-1.26,0.0
2022-09-30,6.37,$-1.76,0.0
2022-06-30,9.92,$-4.00,0.0
2022-03-31,9.93,$-3.39,0.0
2021-12-31,9.92,$-2.75,0.0
2021-09-30,9.79,$-1.68,0.0
