Biorestorative Therapies Price to Free Cash Flow Ratio Historical Data,Biorestorative Therapies Price to Free Cash Flow Ratio Historical Data,Biorestorative Therapies Price to Free Cash Flow Ratio Historical Data,Biorestorative Therapies Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.71,,0.0
2024-09-30,1.74,$-1.90,0.0
2024-06-30,2.03,$-1.12,0.0
2024-03-31,1.38,$-1.26,0.0
2023-12-31,1.74,$-1.56,0.0
2023-09-30,1.79,$-0.87,0.0
2023-06-30,4.41,$-1.82,0.0
2023-03-31,3.4,$-1.88,0.0
2022-12-31,2.75,$-1.71,0.0
2022-09-30,3.23,$-4.07,0.0
