Wynn Resorts Price to Free Cash Flow Ratio Historical Data,Wynn Resorts Price to Free Cash Flow Ratio Historical Data,Wynn Resorts Price to Free Cash Flow Ratio Historical Data,Wynn Resorts Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,83.07,,8.65
2024-12-31,86.16,$9.60,8.97
2024-09-30,95.62,$9.12,10.49
2024-06-30,88.96,$8.65,10.28
2024-03-31,101.36,$8.70,11.65
2023-12-31,90.12,$7.14,12.61
2023-09-30,91.14,$4.76,19.16
2023-06-30,103.88,$2.54,40.97
2023-03-31,109.83,$-1.00,0.0
2022-12-31,80.93,$-3.26,0.0
2022-09-30,61.86,$-4.53,0.0
2022-06-30,55.92,$-4.56,0.0
2022-03-31,78.25,$-3.68,0.0
2021-12-31,83.46,$-4.47,0.0
2021-09-30,83.17,$-6.57,0.0
2021-06-30,120.02,$-8.03,0.0
2021-03-31,123.03,$-12.29,0.0
2020-12-31,110.73,$-12.58,0.0
2020-09-30,70.47,$-10.31,0.0
2020-06-30,73.1,$-7.79,0.0
2020-03-31,59.07,$-4.02,0.0
2019-12-31,135.1,$-1.51,0.0
2019-09-30,104.88,$0.82,127.18
2019-06-30,118.46,$1.78,66.39
2019-03-31,113.06,$0.81,139.69
2018-12-31,93.16,$-4.30,0.0
2018-09-30,118.79,$-2.98,0.0
2018-06-30,155.6,$-2.10,0.0
2018-03-31,168.91,$1.00,169.09
2017-12-31,155.68,$9.37,16.61
2017-09-30,137.06,$6.49,21.12
2017-06-30,122.97,$3.47,35.45
2017-03-31,104.66,$1.90,54.97
2016-12-31,78.6,$-2.47,0.0
2016-09-30,88.01,$-5.33,0.0
2016-06-30,81.47,$-7.35,0.0
2016-03-31,83.52,$-9.53,0.0
2015-12-31,61.45,$-13.26,0.0
2015-09-30,46.84,$-14.14,0.0
2015-06-30,86.58,$-10.12,0.0
2015-03-31,109.97,$-6.50,0.0
2014-12-31,128.68,$-0.89,0.0
2014-09-30,159.58,$4.88,32.73
2014-06-30,175.95,$6.13,28.72
2014-03-31,187.18,$8.40,22.29
2013-12-31,162.73,$11.63,13.99
2013-09-30,129.23,$10.35,12.49
2013-06-30,103.92,$10.77,9.65
2013-03-31,100.91,$9.98,10.11
2012-12-31,89.96,$9.07,9.92
2012-09-30,86.14,$10.29,8.37
2012-06-30,76.99,$9.80,7.86
2012-03-31,92.24,$10.94,8.43
2011-12-31,81.25,$10.60,7.66
2011-09-30,80.7,$11.17,7.22
2011-06-30,100.36,$10.55,9.51
2011-03-31,88.6,$8.14,10.89
2010-12-31,72.36,$6.24,11.59
2010-09-30,56.1,$3.83,14.64
2010-06-30,49.18,$3.45,14.27
2010-03-31,48.75,$1.97,24.79
2009-12-31,37.43,$0.45,83.11
