Employers Holdings Inc Price to Free Cash Flow Ratio Historical Data,Employers Holdings Inc Price to Free Cash Flow Ratio Historical Data,Employers Holdings Inc Price to Free Cash Flow Ratio Historical Data,Employers Holdings Inc Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,50.09,,17.65
2024-12-31,51.23,$2.84,18.05
2024-09-30,47.7,$3.41,14.0
2024-06-30,42.12,$2.33,18.1
2024-03-31,44.53,$1.61,27.6
2023-12-31,38.42,$1.78,21.59
2023-09-30,38.67,$1.91,20.26
2023-06-30,35.96,$2.05,17.56
2023-03-31,39.78,$3.08,12.91
2022-12-31,40.91,$3.51,11.65
2022-09-30,31.62,$3.03,10.43
2022-06-30,38.16,$2.47,15.46
2022-03-31,36.24,$1.23,29.41
2021-12-31,36.33,$0.25,144.32
2021-09-30,34.45,$-0.95,0.0
2021-06-30,37.12,$-0.80,0.0
2021-03-31,37.12,$0.06,588.26
2020-12-31,27.54,$0.91,30.25
2020-09-30,25.69,$1.75,14.68
2020-06-30,25.41,$3.15,8.07
2020-03-31,33.85,$3.36,10.06
2019-12-31,34.66,$3.39,10.22
2019-09-30,36.0,$4.44,8.11
2019-06-30,34.73,$3.86,9.0
2019-03-31,32.79,$4.27,7.68
2018-12-31,34.31,$5.10,6.72
2018-09-30,36.88,$4.92,7.5
2018-06-30,32.57,$5.23,6.22
2018-03-31,32.61,$4.53,7.2
2017-12-31,35.62,$4.06,8.78
2017-09-30,36.34,$3.65,9.95
2017-06-30,33.71,$3.47,9.72
2017-03-31,30.13,$3.75,8.04
2016-12-31,31.31,$3.57,8.77
2016-09-30,23.52,$3.38,6.95
2016-06-30,22.81,$2.68,8.51
2016-03-31,22.05,$3.13,7.04
2015-12-31,21.32,$3.22,6.62
2015-09-30,17.37,$3.71,4.68
2015-06-30,17.71,$4.43,4.0
2015-03-31,20.93,$4.61,4.54
2014-12-31,18.19,$5.03,3.61
2014-09-30,14.85,$5.36,2.77
2014-06-30,16.29,$4.85,3.36
2014-03-31,15.52,$4.96,3.13
2013-12-31,24.21,$5.08,4.76
2013-09-30,22.7,$4.94,4.6
2013-06-30,18.62,$4.98,3.74
2013-03-31,17.82,$4.59,3.89
2012-12-31,15.6,$3.98,3.92
2012-09-30,13.85,$2.91,4.76
2012-06-30,13.58,$2.35,5.77
2012-03-31,13.29,$1.58,8.4
2011-12-31,13.52,$1.02,13.31
2011-09-30,9.5,$2.09,4.54
2011-06-30,12.43,$1.86,6.69
2011-03-31,15.26,$1.41,10.81
2010-12-31,12.87,$1.33,9.69
2010-09-30,11.57,$-0.06,0.0
2010-06-30,10.76,$-0.30,0.0
2010-03-31,10.81,$0.21,52.19
2009-12-31,11.12,$0.78,14.21
