Mind Medicine (MindMed) Price to Free Cash Flow Ratio Historical Data,Mind Medicine (MindMed) Price to Free Cash Flow Ratio Historical Data,Mind Medicine (MindMed) Price to Free Cash Flow Ratio Historical Data,Mind Medicine (MindMed) Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,6.65,,0.0
2024-12-31,6.96,$-1.12,0.0
2024-09-30,5.69,$-1.21,0.0
2024-06-30,7.21,$-1.43,0.0
2024-03-31,9.4,$-1.64,0.0
2023-12-31,3.66,$-1.64,0.0
2023-09-30,3.13,$-1.45,0.0
2023-06-30,3.57,$-1.34,0.0
2023-03-31,3.17,$-1.52,0.0
2022-12-31,2.2,$-1.62,0.0
2022-09-30,3.5,$-1.59,0.0
2022-06-30,9.6,$-1.89,0.0
2022-03-31,16.65,$-1.74,0.0
2021-12-31,20.7,$-1.67,0.0
2021-09-30,34.95,$-1.46,0.0
2021-06-30,51.75,$-1.15,0.0
2021-03-31,35.85,$-0.99,0.0
2020-12-31,36.15,$-0.98,0.0
