Riverview Bancorp Inc Price to Free Cash Flow Ratio Historical Data,Riverview Bancorp Inc Price to Free Cash Flow Ratio Historical Data,Riverview Bancorp Inc Price to Free Cash Flow Ratio Historical Data,Riverview Bancorp Inc Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,5.39,,0.0
2024-12-31,5.74,$-0.18,0.0
2024-09-30,4.69,$0.19,24.39
2024-06-30,3.95,$0.27,14.9
2024-03-31,4.61,$0.34,13.65
2023-12-31,6.19,$0.70,8.8
2023-09-30,5.32,$0.38,14.05
2023-06-30,4.77,$0.57,8.36
2023-03-31,5.0,$0.40,12.47
2022-12-31,7.13,$0.77,9.23
2022-09-30,5.84,$0.64,9.11
2022-06-30,5.99,$0.88,6.84
2022-03-31,6.83,$0.75,9.12
2021-12-31,6.91,$0.82,8.44
2021-09-30,6.48,$1.15,5.62
2021-06-30,6.27,$0.74,8.42
2021-03-31,6.09,$0.92,6.59
2020-12-31,4.58,$0.43,10.69
2020-09-30,3.57,$0.29,12.28
2020-06-30,4.77,$0.50,9.56
2020-03-31,4.19,$0.57,7.3
2019-12-31,6.82,$0.67,10.25
2019-09-30,6.09,$0.81,7.49
2019-06-30,7.01,$0.98,7.15
2019-03-31,5.97,$0.89,6.73
2018-12-31,5.91,$1.15,5.16
2018-09-30,7.15,$0.87,8.25
2018-06-30,6.8,$0.73,9.33
2018-03-31,7.5,$0.50,15.06
2017-12-31,6.94,$0.53,13.02
2017-09-30,6.7,$0.72,9.31
2017-06-30,5.28,$0.60,8.74
2017-03-31,5.67,$0.79,7.22
2016-12-31,5.54,$0.67,8.25
2016-09-30,4.24,$0.62,6.87
2016-06-30,3.71,$0.56,6.63
2016-03-31,3.28,$0.51,6.44
2015-12-31,3.67,$0.40,9.14
2015-09-30,3.69,$0.22,16.83
2015-06-30,3.31,$0.35,9.38
2015-03-31,3.48,$0.47,7.36
2014-12-31,3.46,$0.52,6.66
2014-09-30,3.08,$0.74,4.17
2014-06-30,3.0,$0.61,4.94
2014-03-31,2.65,$0.58,4.54
2013-12-31,2.24,$0.72,3.11
2013-09-30,2.03,$0.67,3.05
2013-06-30,1.94,$0.70,2.75
2013-03-31,2.04,$0.76,2.7
2012-12-31,1.31,$0.80,1.63
2012-09-30,1.05,$0.87,1.21
2012-06-30,0.97,$0.95,1.02
2012-03-31,1.75,$0.83,2.11
2011-12-31,1.83,$1.03,1.78
2011-09-30,1.85,$0.85,2.18
2011-06-30,2.37,$0.76,3.1
2011-03-31,2.35,$1.21,1.95
2010-12-31,2.1,$1.87,1.12
2010-09-30,1.53,$1.71,0.89
2010-06-30,1.88,$2.02,0.93
2010-03-31,1.78,$2.00,0.89
2009-12-31,1.73,$2.13,0.81
