Ares Capital Price to Free Cash Flow Ratio Historical Data,Ares Capital Price to Free Cash Flow Ratio Historical Data,Ares Capital Price to Free Cash Flow Ratio Historical Data,Ares Capital Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,21.73,,0.0
2024-12-31,21.89,$-3.41,0.0
2024-09-30,20.49,$-3.54,0.0
2024-06-30,19.92,$-2.74,0.0
2024-03-31,19.45,$-0.72,0.0
2023-12-31,18.27,$0.89,20.56
2023-09-30,17.34,$0.78,22.19
2023-06-30,16.33,$0.81,20.1
2023-03-31,15.48,$-2.01,0.0
2022-12-31,15.24,$-2.62,0.0
2022-09-30,13.55,$-5.90,0.0
2022-06-30,14.06,$-5.91,0.0
2022-03-31,16.02,$-5.69,0.0
2021-12-31,15.84,$-5.51,0.0
2021-09-30,14.89,$-3.30,0.0
2021-06-30,14.06,$-3.35,0.0
2021-03-31,13.16,$-0.26,0.0
2020-12-31,11.63,$-1.37,0.0
2020-09-30,9.38,$-0.42,0.0
2020-06-30,9.45,$-2.10,0.0
2020-03-31,6.86,$-1.65,0.0
2019-12-31,11.56,$-2.89,0.0
2019-09-30,11.29,$-4.40,0.0
2019-06-30,10.64,$-1.65,0.0
2019-03-31,9.93,$-0.24,0.0
2018-12-31,8.81,$0.71,12.34
2018-09-30,9.48,$2.86,3.32
2018-06-30,8.88,$2.19,4.05
2018-03-31,8.37,$0.47,17.71
2017-12-31,8.1,$-4.82,0.0
2017-09-30,8.24,$-4.42,0.0
2017-06-30,8.04,$-4.22,0.0
2017-03-31,8.34,$-3.55,0.0
2016-12-31,7.75,$2.25,3.44
2016-09-30,7.11,$0.92,7.71
2016-06-30,6.36,$0.35,18.38
2016-03-31,6.47,$-0.44,0.0
2015-12-31,6.05,$1.15,5.28
2015-09-30,5.99,$2.12,2.83
2015-06-30,6.64,$0.25,27.04
2015-03-31,6.77,$-0.51,0.0
2014-12-31,6.0,$-2.16,0.0
2014-09-30,6.06,$-2.76,0.0
2014-06-30,6.55,$-2.51,0.0
2014-03-31,6.32,$-4.46,0.0
2013-12-31,6.22,$-4.86,0.0
2013-09-30,5.91,$-2.91,0.0
2013-06-30,5.75,$-2.61,0.0
2013-03-31,5.92,$-1.28,0.0
2012-12-31,5.6,$-1.09,0.0
2012-09-30,5.35,$-3.17,0.0
2012-06-30,4.86,$-2.30,0.0
2012-03-31,4.86,$-2.66,0.0
2011-12-31,4.49,$-1.94,0.0
2011-09-30,3.91,$-1.33,0.0
2011-06-30,4.46,$-2.02,0.0
2011-03-31,4.6,$-2.73,0.0
2010-12-31,4.38,$-3.71,0.0
2010-09-30,4.08,$-4.69,0.0
2010-06-30,3.19,$-3.04,0.0
2010-03-31,3.68,$-0.37,0.0
2009-12-31,3.02,$0.12,25.03
