Peoples Bancorp Price to Free Cash Flow Ratio Historical Data,Peoples Bancorp Price to Free Cash Flow Ratio Historical Data,Peoples Bancorp Price to Free Cash Flow Ratio Historical Data,Peoples Bancorp Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,29.79,,7.68
2024-12-31,31.69,$3.88,8.17
2024-09-30,29.7,$3.80,7.82
2024-06-30,29.21,$4.06,7.19
2024-03-31,28.45,$3.30,8.61
2023-12-31,32.0,$3.97,8.05
2023-09-30,23.73,$3.55,6.69
2023-06-30,24.48,$3.64,6.72
2023-03-31,23.39,$5.17,4.53
2022-12-31,25.34,$4.04,6.27
2022-09-30,25.62,$7.31,3.51
2022-06-30,23.27,$7.09,3.28
2022-03-31,27.01,$6.38,4.24
2021-12-31,27.15,$6.82,3.98
2021-09-30,26.68,$4.35,6.13
2021-06-30,24.7,$4.56,5.42
2021-03-31,27.37,$4.18,6.55
2020-12-31,22.1,$4.09,5.4
2020-09-30,15.34,$3.42,4.48
2020-06-30,16.81,$3.69,4.56
2020-03-31,17.25,$3.77,4.58
2019-12-31,26.71,$3.17,8.42
2019-09-30,24.26,$3.72,6.52
2019-06-30,24.34,$3.27,7.43
2019-03-31,23.37,$3.38,6.91
2018-12-31,22.5,$3.70,6.08
2018-09-30,25.96,$3.13,8.3
2018-06-30,27.78,$2.99,9.3
2018-03-31,25.87,$2.93,8.84
2017-12-31,23.63,$3.08,7.66
2017-09-30,24.17,$3.33,7.25
2017-06-30,22.97,$2.86,8.04
2017-03-31,22.5,$2.98,7.55
2016-12-31,22.92,$3.04,7.53
2016-09-30,17.24,$2.92,5.91
2016-06-30,15.17,$3.24,4.68
2016-03-31,13.5,$3.46,3.9
2015-12-31,12.91,$2.17,5.94
2015-09-30,14.03,$2.20,6.39
2015-06-30,15.76,$1.46,10.78
2015-03-31,15.86,$0.67,23.62
2014-12-31,17.29,$1.98,8.72
2014-09-30,15.74,$1.71,9.18
2014-06-30,17.41,$2.55,6.82
2014-03-31,16.19,$3.13,5.18
2013-12-31,14.64,$3.17,4.62
2013-09-30,13.49,$4.10,3.29
2013-06-30,13.54,$3.56,3.8
2013-03-31,14.28,$3.60,3.97
2012-12-31,12.96,$3.49,3.72
2012-09-30,14.44,$2.95,4.9
2012-06-30,13.79,$3.42,4.03
2012-03-31,10.94,$3.53,3.1
2011-12-31,9.18,$4.02,2.29
2011-09-30,6.77,$4.10,1.65
2011-06-30,6.88,$4.12,1.67
2011-03-31,7.33,$4.32,1.7
2010-12-31,9.47,$4.14,2.29
2010-09-30,7.44,$3.18,2.34
2010-06-30,8.59,$3.32,2.59
2010-03-31,9.76,$2.63,3.72
2009-12-31,5.7,$2.03,2.8
