Coterra Energy Price to Free Cash Flow Ratio Historical Data,Coterra Energy Price to Free Cash Flow Ratio Historical Data,Coterra Energy Price to Free Cash Flow Ratio Historical Data,Coterra Energy Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,29.01,,20.92
2024-12-31,25.54,$1.39,18.42
2024-09-30,23.75,$1.51,15.74
2024-06-30,26.22,$1.30,20.12
2024-03-31,27.21,$1.31,20.78
2023-12-31,24.71,$2.10,11.75
2023-09-30,26.0,$2.96,8.78
2023-06-30,24.14,$4.36,5.53
2023-03-31,23.23,$4.76,4.88
2022-12-31,22.69,$4.73,4.79
2022-09-30,23.55,$4.74,4.97
2022-06-30,22.73,$3.20,7.1
2022-03-31,23.29,$2.76,8.45
2021-12-31,16.07,$1.88,8.55
2021-09-30,17.71,$1.16,15.23
2021-06-30,14.12,$0.96,14.64
2021-03-31,15.09,$0.78,19.32
2020-12-31,13.01,$0.51,25.7
2020-09-30,13.79,$0.20,69.79
2020-06-30,13.58,$0.44,30.61
2020-03-31,13.52,$0.80,16.95
2019-12-31,13.6,$1.58,8.61
2019-09-30,13.65,$1.50,9.07
2019-06-30,17.84,$1.37,13.04
2019-03-31,20.21,$1.25,16.11
2018-12-31,17.25,$1.99,8.69
2018-09-30,17.34,$2.02,8.57
2018-06-30,18.28,$2.02,9.06
2018-03-31,18.37,$2.06,8.93
2017-12-31,21.86,$0.53,40.87
2017-09-30,20.41,$0.38,53.53
2017-06-30,19.1,$0.36,52.59
2017-03-31,18.17,$0.23,77.88
2016-12-31,17.74,$0.16,111.47
2016-09-30,19.57,$0.20,96.45
2016-06-30,19.51,$0.10,187.03
2016-03-31,17.2,$-0.12,0.0
2015-12-31,13.38,$-0.48,0.0
2015-09-30,16.52,$-1.00,0.0
2015-06-30,23.82,$-0.90,0.0
2015-03-31,22.29,$-0.59,0.0
2014-12-31,22.33,$-0.49,0.0
2014-09-30,24.64,$0.47,52.84
2014-06-30,25.72,$0.36,71.12
2014-03-31,25.51,$0.28,92.65
2013-12-31,29.17,$0.36,80.37
2013-09-30,28.07,$-0.21,0.0
2013-06-30,26.69,$-0.36,0.0
2013-03-31,25.4,$-0.23,0.0
2012-12-31,18.68,$-0.25,0.0
2012-09-30,16.86,$0.34,49.22
2012-06-30,14.78,$0.37,39.96
2012-03-31,11.69,$0.16,74.98
2011-12-31,14.22,$0.03,422.08
2011-09-30,11.6,$-0.17,0.0
2011-06-30,12.42,$-0.15,0.0
2011-03-31,9.91,$-0.28,0.0
2010-12-31,7.08,$-0.31,0.0
2010-09-30,5.63,$-0.61,0.0
2010-06-30,5.85,$-0.43,0.0
2010-03-31,6.86,$-0.08,0.0
2009-12-31,8.12,$0.20,40.96
