IHS Holding Price to Free Cash Flow Ratio Historical Data,IHS Holding Price to Free Cash Flow Ratio Historical Data,IHS Holding Price to Free Cash Flow Ratio Historical Data,IHS Holding Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,4.7,,3.21
2024-12-31,2.92,$1.47,1.99
2024-09-30,2.99,$0.80,3.76
2024-06-30,3.2,$0.67,4.77
2024-03-31,3.53,$0.59,5.99
2023-12-31,4.6,$0.84,5.5
2023-09-30,5.55,$1.15,4.82
2023-06-30,9.78,$1.24,7.88
2023-03-31,8.76,$1.28,6.87
2022-12-31,6.15,$1.09,5.66
2022-09-30,5.58,$1.72,3.25
