Gaotu Techedu Price to Free Cash Flow Ratio Historical Data,Gaotu Techedu Price to Free Cash Flow Ratio Historical Data,Gaotu Techedu Price to Free Cash Flow Ratio Historical Data,Gaotu Techedu Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,3.6,,21.28
2024-09-30,3.92,$0.17,23.17
2024-06-30,4.9,$0.17,28.96
2024-03-31,6.55,$0.17,38.71
2023-12-31,3.62,$0.17,21.39
2023-09-30,2.76,$0.02,117.95
2023-06-30,2.89,$0.02,123.5
2023-03-31,4.22,$0.02,180.34
2022-12-31,2.36,$0.02,100.85
2022-09-30,1.21,$-2.73,0.0
2022-06-30,1.96,$-2.73,0.0
2022-03-31,1.72,$-2.73,0.0
