Atlanticus Holdings Price to Free Cash Flow Ratio Historical Data,Atlanticus Holdings Price to Free Cash Flow Ratio Historical Data,Atlanticus Holdings Price to Free Cash Flow Ratio Historical Data,Atlanticus Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,51.28,,2.06
2024-12-31,55.78,$24.87,2.24
2024-09-30,35.08,$25.50,1.38
2024-06-30,28.18,$25.71,1.1
2024-03-31,29.59,$25.24,1.17
2023-12-31,38.67,$24.11,1.6
2023-09-30,30.31,$21.91,1.38
2023-06-30,42.01,$20.75,2.02
2023-03-31,27.13,$18.88,1.44
2022-12-31,26.2,$17.69,1.48
2022-09-30,26.23,$15.98,1.64
2022-06-30,35.17,$11.76,2.99
2022-03-31,51.79,$11.38,4.55
2021-12-31,71.32,$9.88,7.22
2021-09-30,53.06,$9.98,5.32
2021-06-30,39.7,$12.37,3.21
2021-03-31,30.33,$11.27,2.69
2020-12-31,24.63,$10.55,2.34
2020-09-30,11.9,$9.35,1.27
2020-06-30,10.34,$7.96,1.3
2020-03-31,9.92,$6.29,1.58
2019-12-31,9.01,$6.53,1.38
2019-09-30,8.35,$7.57,1.1
2019-06-30,4.05,$4.86,0.83
2019-03-31,3.4,$5.73,0.59
2018-12-31,3.64,$2.96,1.23
2018-09-30,2.96,$-1.19,0.0
2018-06-30,2.07,$-1.91,0.0
2018-03-31,2.04,$-2.84,0.0
2017-12-31,2.4,$-1.93,0.0
2017-09-30,2.35,$0.14,16.38
2017-06-30,2.66,$2.61,1.02
2017-03-31,2.65,$2.32,1.14
2016-12-31,2.84,$2.77,1.02
2016-09-30,3.01,$2.32,1.29
2016-06-30,2.91,$1.68,1.73
2016-03-31,3.0,$1.31,2.29
2015-12-31,3.2,$-0.00,0.0
2015-09-30,3.72,$-0.75,0.0
2015-06-30,3.53,$-1.28,0.0
2015-03-31,2.17,$-1.36,0.0
2014-12-31,2.36,$-1.77,0.0
2014-09-30,1.8,$-2.17,0.0
2014-06-30,2.8,$-2.34,0.0
2014-03-31,2.45,$-2.80,0.0
2013-12-31,3.55,$-2.20,0.0
2013-09-30,3.69,$-1.65,0.0
2013-06-30,3.58,$-1.68,0.0
2013-03-31,3.68,$-0.91,0.0
2012-12-31,3.35,$0.04,81.11
2012-09-30,3.72,$-0.82,0.0
2012-06-30,3.62,$1.26,2.87
2012-03-31,5.81,$2.87,2.03
2011-12-31,3.7,$3.18,1.16
2011-09-30,2.79,$4.21,0.66
2011-06-30,2.32,$5.01,0.46
2011-03-31,6.53,$5.45,1.2
2010-12-31,6.98,$8.29,0.84
2010-09-30,4.82,$6.59,0.73
2010-06-30,3.96,$8.07,0.49
2010-03-31,5.16,$8.56,0.6
2009-12-31,3.33,$5.96,0.56
