ChargePoint Holdings Price to Free Cash Flow Ratio Historical Data,ChargePoint Holdings Price to Free Cash Flow Ratio Historical Data,ChargePoint Holdings Price to Free Cash Flow Ratio Historical Data,ChargePoint Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.66,,0.0
2024-10-31,1.2,$-0.48,0.0
2024-07-31,2.17,$-0.65,0.0
2024-04-30,1.33,$-0.77,0.0
2024-01-31,1.9,$-0.93,0.0
2023-10-31,2.54,$-0.97,0.0
2023-07-31,8.66,$-0.98,0.0
2023-04-30,8.67,$-0.94,0.0
2023-01-31,12.14,$-0.84,0.0
2022-10-31,13.98,$-0.88,0.0
2022-07-31,15.11,$-0.78,0.0
2022-04-30,12.94,$-0.61,0.0
2022-01-31,13.85,$-0.57,0.0
2021-10-31,24.78,$-7.21,0.0
2021-07-31,23.65,$-1.73,0.0
2021-04-30,25.32,$-6.99,0.0
2021-01-31,38.06,$-2.68,0.0
2020-12-31,40.08,$0.01,3546.9
2020-10-31,13.23,$-2.27,0.0
2020-09-30,15.6,$-0.03,0.0
2020-07-31,10.2,$-4.17,0.0
2020-06-30,10.05,$-0.00,0.0
2020-04-30,9.78,$-3.07,0.0
