Crown Crafts Price to Free Cash Flow Ratio Historical Data,Crown Crafts Price to Free Cash Flow Ratio Historical Data,Crown Crafts Price to Free Cash Flow Ratio Historical Data,Crown Crafts Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,3.86,,4.34
2024-12-31,4.49,$0.89,5.04
2024-09-30,4.72,$0.86,5.5
2024-06-30,5.05,$0.79,6.42
2024-03-31,4.85,$0.63,7.74
2023-12-31,4.65,$0.64,7.28
2023-09-30,4.34,$0.85,5.13
2023-06-30,4.55,$0.94,4.85
2023-03-31,5.15,$0.68,7.52
2022-12-31,4.71,$0.78,6.07
2022-09-30,5.02,$0.72,6.98
2022-06-30,5.37,$0.62,8.68
2022-03-31,5.51,$0.77,7.15
2021-12-31,6.09,$0.44,13.92
2021-09-30,5.83,$0.30,19.48
2021-06-30,5.79,$0.51,11.44
2021-03-31,5.96,$0.79,7.56
2020-12-31,5.5,$0.84,6.54
2020-09-30,4.13,$0.95,4.36
2020-06-30,3.54,$0.69,5.1
2020-03-31,3.44,$0.77,4.45
2019-12-31,4.36,$0.50,8.7
2019-09-30,4.22,$0.76,5.57
2019-06-30,3.13,$1.02,3.06
2019-03-31,3.38,$0.81,4.14
2018-12-31,3.48,$0.37,9.47
2018-09-30,3.62,$0.24,15.4
2018-06-30,3.57,$0.38,9.33
2018-03-31,3.65,$0.22,16.47
2017-12-31,3.94,$0.68,5.77
2017-09-30,3.92,$0.99,3.95
2017-06-30,4.14,$0.68,6.07
2017-03-31,4.85,$1.02,4.77
2016-12-31,4.52,$1.32,3.43
2016-09-30,5.61,$1.05,5.35
2016-06-30,5.16,$1.14,4.53
2016-03-31,5.0,$1.08,4.64
2015-12-31,4.43,$1.14,3.87
2015-09-30,4.24,$0.84,5.06
2015-06-30,4.09,$0.56,7.29
2015-03-31,3.92,$0.45,8.77
2014-12-31,3.9,$-0.01,0.0
2014-09-30,3.7,$0.36,10.27
2014-06-30,3.83,$0.66,5.84
2014-03-31,3.87,$0.35,10.93
2013-12-31,3.74,$0.64,5.82
2013-09-30,3.44,$0.44,7.89
2013-06-30,2.9,$0.83,3.5
2013-03-31,2.79,$0.91,3.09
2012-12-31,2.3,$0.92,2.5
2012-09-30,2.56,$1.01,2.54
2012-06-30,2.27,$0.81,2.78
2012-03-31,2.16,$0.82,2.64
2011-12-31,1.31,$0.94,1.4
2011-09-30,1.44,$0.80,1.81
2011-06-30,1.9,$0.18,10.53
2011-03-31,1.89,$0.19,9.94
2010-12-31,1.99,$-0.04,0.0
2010-09-30,1.86,$0.64,2.89
2010-06-30,1.58,$1.04,1.51
2010-03-31,1.2,$1.11,1.08
2009-12-31,0.97,$2.03,0.48
