Hooker Furnishings Price to Free Cash Flow Ratio Historical Data,Hooker Furnishings Price to Free Cash Flow Ratio Historical Data,Hooker Furnishings Price to Free Cash Flow Ratio Historical Data,Hooker Furnishings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,11.49,,0.0
2024-10-31,15.82,$-0.97,0.0
2024-07-31,14.86,$0.48,31.09
2024-04-30,16.27,$2.82,5.78
2024-01-31,21.88,$4.49,4.87
2023-10-31,15.7,$5.67,2.77
2023-07-31,18.64,$6.37,2.93
2023-04-30,14.51,$2.08,6.98
2023-01-31,19.12,$-2.24,0.0
2022-10-31,13.54,$-2.68,0.0
2022-07-31,14.63,$-1.20,0.0
2022-04-30,14.72,$-1.37,0.0
2022-01-31,19.05,$1.05,18.19
2021-10-31,21.6,$-0.08,0.0
2021-07-31,28.25,$-0.75,0.0
2021-04-30,31.79,$3.94,8.07
2021-01-31,25.41,$5.67,4.48
2020-10-31,23.07,$6.83,3.38
2020-07-31,17.85,$6.77,2.64
2020-04-30,12.4,$3.05,4.06
2020-01-31,20.14,$3.07,6.56
2019-10-31,19.22,$0.65,29.41
2019-07-31,16.81,$-0.12,0.0
2019-04-30,23.85,$-0.43,0.0
2019-01-31,22.9,$0.38,60.52
2018-10-31,23.17,$1.77,13.07
2018-07-31,35.54,$2.30,15.44
2018-04-30,29.69,$3.04,9.77
2018-01-31,29.12,$2.11,13.81
2017-10-31,37.03,$1.86,19.9
2017-07-31,32.88,$1.56,21.1
2017-04-30,33.75,$2.76,12.21
2017-01-31,25.69,$2.49,10.32
2016-10-31,20.28,$3.05,6.65
2016-07-31,17.76,$3.14,5.66
2016-04-30,18.97,$2.77,6.84
2016-01-31,21.89,$1.87,11.71
2015-10-31,18.85,$1.96,9.63
2015-07-31,18.87,$1.08,17.44
2015-04-30,19.18,$1.29,14.87
2015-01-31,13.52,$1.84,7.34
2014-10-31,11.39,$0.78,14.54
2014-07-31,10.75,$1.22,8.8
2014-04-30,10.18,$0.76,13.39
2014-01-31,11.06,$0.21,52.94
2013-10-31,11.47,$0.25,45.89
2013-07-31,12.11,$-0.76,0.0
2013-04-30,12.38,$-1.19,0.0
2013-01-31,10.75,$-0.66,0.0
2012-10-31,9.57,$0.57,16.69
2012-07-31,8.2,$1.69,4.86
2012-04-30,8.17,$3.04,2.68
2012-01-31,8.25,$2.65,3.11
2011-10-31,6.58,$1.53,4.31
2011-07-31,6.04,$0.45,13.35
2011-04-30,8.26,$-1.39,0.0
2011-01-31,8.84,$-1.62,0.0
2010-10-31,6.9,$-0.95,0.0
2010-07-31,7.65,$0.45,17.05
2010-04-30,10.14,$2.00,5.07
2010-01-31,8.11,$3.30,2.46
2009-10-31,8.11,$2.92,2.78
