Quanex Building Products Price to Free Cash Flow Ratio Historical Data,Quanex Building Products Price to Free Cash Flow Ratio Historical Data,Quanex Building Products Price to Free Cash Flow Ratio Historical Data,Quanex Building Products Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,20.17,,13.59
2025-01-31,21.0,$1.48,14.14
2024-10-31,28.98,$1.82,15.9
2024-07-31,33.21,$2.70,12.29
2024-04-30,32.94,$3.22,10.24
2024-01-31,30.88,$3.29,9.4
2023-10-31,26.49,$3.33,7.96
2023-07-31,27.69,$3.48,7.96
2023-04-30,18.74,$3.14,5.97
2023-01-31,25.29,$2.70,9.38
2022-10-31,21.58,$1.96,11.02
2022-07-31,23.87,$1.68,14.21
2022-04-30,18.57,$0.70,26.57
2022-01-31,20.98,$1.17,17.86
2021-10-31,19.88,$1.79,11.12
2021-07-31,23.75,$2.50,9.48
2021-04-30,26.01,$3.34,7.78
2021-01-31,20.9,$2.44,8.58
2020-10-31,17.24,$2.30,7.49
2020-07-31,13.25,$2.63,5.03
2020-04-30,11.68,$2.17,5.38
2020-01-31,16.47,$2.62,6.3
2019-10-31,17.86,$2.21,8.08
2019-07-31,17.17,$1.86,9.23
2019-04-30,15.35,$1.67,9.17
2019-01-31,14.29,$1.43,9.98
2018-10-31,13.45,$2.24,6.0
2018-07-31,16.0,$1.55,10.32
2018-04-30,15.47,$1.55,10.0
2018-01-31,18.63,$1.50,12.39
2017-10-31,19.72,$1.35,14.57
2017-07-31,19.28,$1.39,13.88
2017-04-30,18.26,$1.27,14.4
2017-01-31,17.64,$1.59,11.1
2016-10-31,14.53,$1.51,9.63
2016-07-31,17.78,$1.62,10.96
2016-04-30,16.73,$1.61,10.41
2016-01-31,16.39,$1.24,13.23
2015-10-31,16.68,$1.08,15.4
2015-07-31,17.71,$0.34,52.68
2015-04-30,16.99,$0.16,104.28
2015-01-31,16.54,$-0.21,0.0
2014-10-31,17.55,$-0.32,0.0
2014-07-31,14.95,$0.41,36.42
2014-04-30,16.44,$0.63,26.2
2014-01-31,16.5,$0.81,20.31
2013-10-31,15.45,$0.16,96.08
2013-07-31,14.76,$-0.48,0.0
2013-04-30,14.08,$-0.77,0.0
2013-01-31,17.83,$-1.41,0.0
2012-10-31,17.03,$-0.44,0.0
2012-07-31,14.53,$0.24,61.19
2012-04-30,15.81,$0.27,57.83
2012-01-31,14.06,$0.67,20.96
2011-10-31,12.55,$0.74,16.98
2011-07-31,13.28,$0.42,31.8
2011-04-30,17.73,$0.67,26.49
2011-01-31,16.45,$1.75,9.41
2010-10-31,15.18,$1.98,7.68
2010-07-31,14.78,$2.03,7.29
2010-04-30,15.93,$1.92,8.3
2010-01-31,13.46,$1.50,8.97
2009-10-31,12.43,$1.20,10.36
