Smith-Midland Price to Free Cash Flow Ratio Historical Data,Smith-Midland Price to Free Cash Flow Ratio Historical Data,Smith-Midland Price to Free Cash Flow Ratio Historical Data,Smith-Midland Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,32.99,,46.34
2024-09-30,33.39,$0.71,46.9
2024-06-30,27.69,$0.61,45.64
2024-03-31,46.98,$0.66,70.77
2023-12-31,39.5,$0.58,68.14
2023-09-30,19.01,$-0.47,0.0
2023-06-30,23.52,$-1.16,0.0
2023-03-31,18.76,$-1.95,0.0
2022-12-31,20.5,$-1.71,0.0
2022-09-30,26.75,$-1.81,0.0
2022-06-30,14.0,$-0.99,0.0
2022-03-31,17.75,$-0.21,0.0
2021-12-31,47.0,$0.81,57.89
2021-09-30,13.87,$1.59,8.72
2021-06-30,23.6,$1.85,12.75
2021-03-31,11.96,$1.62,7.37
2020-12-31,9.45,$0.98,9.62
