Beam Global Price to Free Cash Flow Ratio Historical Data,Beam Global Price to Free Cash Flow Ratio Historical Data,Beam Global Price to Free Cash Flow Ratio Historical Data,Beam Global Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,2.19,,0.0
2024-09-30,4.91,$-0.35,0.0
2024-06-30,4.61,$-0.67,0.0
2024-03-31,6.8,$-1.28,0.0
2023-12-31,7.09,$-1.15,0.0
2023-09-30,7.38,$-1.33,0.0
2023-06-30,10.35,$-1.67,0.0
2023-03-31,15.91,$-1.79,0.0
2022-12-31,17.47,$-1.92,0.0
2022-09-30,12.2,$-1.78,0.0
2022-06-30,15.52,$-1.09,0.0
2022-03-31,20.45,$-0.89,0.0
2021-12-31,18.6,$-0.78,0.0
2021-09-30,27.37,$-0.83,0.0
2021-06-30,38.31,$-0.68,0.0
2021-03-31,43.36,$-0.51,0.0
2020-12-31,73.78,$-0.71,0.0
2020-09-30,12.16,$-0.92,0.0
2020-06-30,9.97,$-0.95,0.0
2020-03-31,7.59,$-1.39,0.0
