Conifer Holdings Price to Free Cash Flow Ratio Historical Data,Conifer Holdings Price to Free Cash Flow Ratio Historical Data,Conifer Holdings Price to Free Cash Flow Ratio Historical Data,Conifer Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.73,,0.0
2024-09-30,1.09,$-2.07,0.0
2024-06-30,0.77,$-1.14,0.0
2024-03-31,1.13,$0.07,17.25
2023-12-31,1.1,$-1.10,0.0
2023-09-30,1.15,$-2.58,0.0
2023-06-30,1.7,$-2.31,0.0
2023-03-31,1.51,$-3.40,0.0
2022-12-31,1.57,$-3.79,0.0
2022-09-30,1.61,$-0.51,0.0
2022-06-30,1.56,$-0.58,0.0
2022-03-31,2.38,$0.04,64.32
2021-12-31,2.32,$0.55,4.2
2021-09-30,2.88,$0.42,6.86
2021-06-30,2.91,$0.33,8.77
2021-03-31,3.75,$-0.47,0.0
2020-12-31,3.29,$0.31,10.62
2020-09-30,2.88,$0.65,4.46
2020-06-30,2.73,$1.27,2.14
2020-03-31,3.0,$2.41,1.25
2019-12-31,4.0,$1.73,2.31
2019-09-30,3.66,$-0.35,0.0
2019-06-30,3.99,$-1.19,0.0
2019-03-31,4.52,$-1.80,0.0
2018-12-31,3.5,$-2.00,0.0
2018-09-30,5.65,$-2.01,0.0
2018-06-30,6.3,$-0.65,0.0
2018-03-31,5.85,$0.18,32.61
2017-12-31,5.8,$1.15,5.03
2017-09-30,6.06,$2.27,2.67
2017-06-30,6.9,$1.07,6.42
2017-03-31,7.3,$0.91,8.02
2016-12-31,8.15,$0.78,10.4
2016-09-30,8.33,$1.93,4.32
2016-06-30,6.94,$0.06,121.33
