A2Z Cust2Mate Solutions Price to Free Cash Flow Ratio Historical Data,A2Z Cust2Mate Solutions Price to Free Cash Flow Ratio Historical Data,A2Z Cust2Mate Solutions Price to Free Cash Flow Ratio Historical Data,A2Z Cust2Mate Solutions Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,7.34,,0.0
2024-09-30,0.8,$-0.58,0.0
2024-06-30,0.4,$-0.75,0.0
2024-03-31,0.58,$-0.87,0.0
2023-12-31,1.37,$-0.83,0.0
2023-09-30,1.65,$-0.77,0.0
2023-06-30,2.53,$-0.75,0.0
2023-03-31,1.29,$-0.88,0.0
2022-12-31,1.27,$-0.92,0.0
