Entergy Price to Free Cash Flow Ratio Historical Data,Entergy Price to Free Cash Flow Ratio Historical Data,Entergy Price to Free Cash Flow Ratio Historical Data,Entergy Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,84.64,,0.0
2024-12-31,75.82,$-2.70,0.0
2024-09-30,65.27,$-1.60,0.0
2024-06-30,52.56,$-0.93,0.0
2024-03-31,51.37,$-1.28,0.0
2023-12-31,48.62,$-0.36,0.0
2023-09-30,43.93,$-1.40,0.0
2023-06-30,45.73,$-2.54,0.0
2023-03-31,50.09,$-4.44,0.0
2022-12-31,51.77,$-6.29,0.0
2022-09-30,45.86,$-10.24,0.0
2022-06-30,50.9,$-9.32,0.0
2022-03-31,52.31,$-8.13,0.0
2021-12-31,50.0,$-9.75,0.0
2021-09-30,43.65,$-8.32,0.0
2021-06-30,43.44,$-9.06,0.0
2021-03-31,42.96,$-8.56,0.0
2020-12-31,42.69,$-5.60,0.0
2020-09-30,41.77,$-3.90,0.0
2020-06-30,39.41,$-3.47,0.0
2020-03-31,39.08,$-4.04,0.0
2019-12-31,49.47,$-4.19,0.0
2019-09-30,48.08,$-3.88,0.0
2019-06-30,41.81,$-4.72,0.0
2019-03-31,38.84,$-4.39,0.0
2018-12-31,34.61,$-4.25,0.0
2018-09-30,32.28,$-3.05,0.0
2018-06-30,31.8,$-2.50,0.0
2018-03-31,30.66,$-3.12,0.0
2017-12-31,31.29,$-2.49,0.0
2017-09-30,29.06,$-2.21,0.0
2017-06-30,28.89,$-1.37,0.0
2017-03-31,28.26,$0.55,51.28
2016-12-31,27.0,$-1.98,0.0
2016-09-30,27.86,$-0.12,0.0
2016-06-30,29.22,$0.20,144.52
2016-03-31,28.16,$0.48,58.49
2015-12-31,24.0,$3.63,6.6
2015-09-30,22.56,$2.88,7.83
2015-06-30,24.14,$3.92,6.15
2015-03-31,26.24,$4.25,6.17
2014-12-31,29.32,$4.94,5.94
2014-09-30,25.67,$5.58,4.6
2014-06-30,26.93,$4.94,5.45
2014-03-31,21.69,$4.04,5.37
2013-12-31,20.26,$2.89,7.01
2013-09-30,19.97,$-0.35,0.0
2013-06-30,21.75,$-0.71,0.0
2013-03-31,19.51,$-0.89,0.0
2012-12-31,19.41,$-0.54,0.0
2012-09-30,20.84,$1.19,17.58
2012-06-30,20.19,$1.93,10.44
2012-03-31,19.73,$1.80,10.97
2011-12-31,21.19,$1.24,17.07
2011-09-30,19.0,$1.54,12.31
2011-06-30,19.3,$2.88,6.7
2011-03-31,18.78,$4.15,4.52
2010-12-31,19.56,$5.20,3.77
2010-09-30,20.9,$5.47,3.82
2010-06-30,19.36,$3.79,5.11
2010-03-31,21.76,$3.36,6.48
2009-12-31,21.67,$2.56,8.47
