Prime Medicine Price to Free Cash Flow Ratio Historical Data,Prime Medicine Price to Free Cash Flow Ratio Historical Data,Prime Medicine Price to Free Cash Flow Ratio Historical Data,Prime Medicine Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,2.01,,0.0
2024-12-31,2.92,$-1.10,0.0
2024-09-30,3.87,$-1.72,0.0
2024-06-30,5.14,$-1.94,0.0
2024-03-31,7.0,$-2.10,0.0
2023-12-31,8.86,$-1.91,0.0
2023-09-30,9.54,$-5.76,0.0
