Crane NXT Price to Free Cash Flow Ratio Historical Data,Crane NXT Price to Free Cash Flow Ratio Historical Data,Crane NXT Price to Free Cash Flow Ratio Historical Data,Crane NXT Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,53.51,,18.33
2024-12-31,58.22,$2.92,19.95
2024-09-30,56.1,$2.81,19.99
2024-06-30,61.42,$3.53,17.38
2024-03-31,61.9,$4.21,14.7
