Allient Price to Free Cash Flow Ratio Historical Data,Allient Price to Free Cash Flow Ratio Historical Data,Allient Price to Free Cash Flow Ratio Historical Data,Allient Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,23.87,,12.32
2024-12-31,24.28,$1.94,12.53
2024-09-30,18.97,$2.23,8.52
2024-06-30,25.2,$2.09,12.04
2024-03-31,35.55,$2.43,14.63
2023-12-31,30.07,$2.05,14.63
2023-09-30,30.74,$1.58,19.42
2023-06-30,39.67,$0.46,86.59
2023-03-31,38.36,$0.37,102.84
2022-12-31,34.53,$-0.65,0.0
2022-09-30,28.37,$-0.94,0.0
2022-06-30,22.62,$-0.34,0.0
2022-03-31,29.52,$-0.39,0.0
2021-12-31,36.07,$0.81,44.81
2021-09-30,30.9,$1.19,25.95
2021-06-30,34.09,$1.60,21.29
2021-03-31,33.76,$1.58,21.39
2020-12-31,33.59,$1.08,31.12
2020-09-30,27.11,$1.43,18.97
2020-06-30,23.17,$1.42,16.31
2020-03-31,15.54,$1.41,11.03
2019-12-31,31.77,$1.38,22.95
2019-09-30,23.11,$0.72,32.29
2019-06-30,24.79,$0.26,93.81
2019-03-31,22.46,$-0.09,0.0
2018-12-31,29.18,$0.22,131.48
2018-09-30,35.51,$0.64,55.92
2018-06-30,31.22,$1.17,26.63
2018-03-31,25.9,$1.27,20.44
2017-12-31,21.55,$1.38,15.61
2017-09-30,16.49,$1.02,16.23
2017-06-30,17.69,$1.06,16.75
2017-03-31,13.05,$1.31,9.96
2016-12-31,13.87,$0.67,20.79
2016-09-30,12.25,$0.83,14.72
2016-06-30,15.05,$0.99,15.16
2016-03-31,11.63,$0.59,19.56
2015-12-31,16.9,$1.11,15.26
2015-09-30,11.45,$1.55,7.37
2015-06-30,14.46,$0.89,16.25
2015-03-31,21.35,$1.18,18.12
2014-12-31,15.22,$1.17,12.97
2014-09-30,9.11,$0.82,11.14
2014-06-30,9.28,$0.81,11.44
2014-03-31,7.41,$0.63,11.75
2013-12-31,7.95,$0.58,13.67
2013-09-30,5.15,$0.37,14.08
2013-06-30,4.26,$0.35,12.25
2013-03-31,4.36,$0.32,13.5
2012-12-31,4.16,$0.16,26.78
2012-09-30,4.14,$0.27,15.58
2012-06-30,3.75,$0.40,9.47
2012-03-31,4.51,$0.35,12.74
2011-12-31,3.5,$0.55,6.4
2011-09-30,3.07,$0.41,7.5
2011-06-30,3.36,$0.39,8.71
2011-03-31,4.34,$0.30,14.67
2010-12-31,4.24,$0.49,8.58
2010-09-30,2.6,$0.41,6.27
2010-06-30,2.77,$0.45,6.14
2010-03-31,2.22,$0.47,4.69
2009-12-31,1.54,$0.17,8.9
