First Savings Financial Price to Free Cash Flow Ratio Historical Data,First Savings Financial Price to Free Cash Flow Ratio Historical Data,First Savings Financial Price to Free Cash Flow Ratio Historical Data,First Savings Financial Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,25.23,,22.66
2024-12-31,26.56,$1.11,23.86
2024-09-30,23.69,$13.23,1.79
2024-06-30,17.59,$15.80,1.11
2024-03-31,16.41,$14.69,1.12
2023-12-31,16.31,$14.13,1.15
2023-09-30,14.16,$4.35,3.25
2023-06-30,12.63,$10.15,1.24
2023-03-31,15.17,$13.87,1.09
2022-12-31,18.7,$17.47,1.07
2022-09-30,21.36,$20.82,1.03
2022-06-30,22.13,$21.08,1.05
2022-03-31,22.56,$15.30,1.47
2021-12-31,24.14,$30.40,0.79
2021-09-30,25.35,$15.36,1.65
2021-06-30,22.11,$0.41,53.35
2021-03-31,20.19,$-0.70,0.0
2020-12-31,19.5,$-27.86,0.0
2020-09-30,16.26,$-20.52,0.0
2020-06-30,12.92,$-13.63,0.0
2020-03-31,11.57,$-15.10,0.0
2019-12-31,19.85,$-8.03,0.0
2019-09-30,18.66,$-7.61,0.0
2019-06-30,17.66,$-8.60,0.0
2019-03-31,15.87,$-1.57,0.0
2018-12-31,15.2,$0.63,24.05
2018-09-30,19.93,$2.39,8.33
2018-06-30,21.41,$3.21,6.67
2018-03-31,20.2,$1.51,13.4
2017-12-31,16.54,$1.19,13.92
2017-09-30,15.45,$-0.35,0.0
2017-06-30,15.23,$-0.31,0.0
2017-03-31,14.02,$0.59,23.84
2016-12-31,13.49,$-0.69,0.0
2016-09-30,10.34,$1.64,6.3
2016-06-30,9.84,$0.68,14.39
2016-03-31,9.65,$-0.06,0.0
2015-12-31,10.3,$0.43,23.8
2015-09-30,9.58,$-0.03,0.0
2015-06-30,8.35,$0.93,9.0
2015-03-31,8.09,$1.50,5.4
2014-12-31,7.31,$1.61,4.53
2014-09-30,6.92,$1.28,5.4
2014-06-30,6.67,$0.64,10.35
2014-03-31,6.45,$0.86,7.5
2013-12-31,6.25,$0.86,7.28
2013-09-30,6.12,$0.97,6.34
2013-06-30,6.32,$1.14,5.57
2013-03-31,5.86,$0.59,9.98
2012-12-31,5.23,$0.66,7.99
2012-09-30,5.13,$0.52,9.88
2012-06-30,4.64,$0.97,4.78
2012-03-31,4.5,$1.36,3.32
2011-12-31,4.45,$1.38,3.22
2011-09-30,4.08,$1.43,2.85
2011-06-30,4.21,$0.88,4.78
2011-03-31,4.01,$0.81,4.96
2010-12-31,3.89,$0.84,4.63
2010-09-30,3.44,$0.68,5.1
2010-06-30,3.42,$0.97,3.51
2010-03-31,3.29,$0.84,3.91
2009-12-31,2.75,$0.41,6.67
