GameSquare Holdings Price to Free Cash Flow Ratio Historical Data,GameSquare Holdings Price to Free Cash Flow Ratio Historical Data,GameSquare Holdings Price to Free Cash Flow Ratio Historical Data,GameSquare Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.8,,0.0
2024-09-30,0.73,$-1.42,0.0
2024-06-30,1.2,$-1.45,0.0
2024-03-31,1.38,$-1.79,0.0
2023-12-31,1.81,$-1.45,0.0
2023-09-30,2.18,$-1.18,0.0
2023-06-30,3.01,$-2.70,0.0
2023-03-31,1.35,$-1.24,0.0
2023-02-28,1.72,$-2.49,0.0
2022-12-31,0.98,$-1.23,0.0
2022-11-30,0.59,$3.20,0.18
2022-09-30,0.56,$-0.74,0.0
2022-08-31,0.72,$0.00,0.0
2022-06-30,0.8,$-2.15,0.0
2022-05-31,0.96,$-4.79,0.0
