Getty Images Holdings Price to Free Cash Flow Ratio Historical Data,Getty Images Holdings Price to Free Cash Flow Ratio Historical Data,Getty Images Holdings Price to Free Cash Flow Ratio Historical Data,Getty Images Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,2.19,,16.91
2024-09-30,3.81,$0.13,29.42
2024-06-30,3.26,$0.16,19.82
2024-03-31,4.15,$0.16,25.78
2023-12-31,5.25,$0.18,28.53
2023-09-30,6.49,$0.26,24.89
2023-06-30,4.88,$0.26,18.84
2023-03-31,5.09,$0.27,19.18
2022-12-31,5.55,$0.37,14.8
2022-09-30,6.79,$0.48,14.16
2022-06-30,9.99,$0.93,10.72
2022-03-31,9.92,$0.84,11.75
2021-12-31,9.9,$0.69,14.29
2021-09-30,9.82,$0.51,19.45
2021-06-30,9.89,$-0.01,0.0
