Desktop Metal Price to Free Cash Flow Ratio Historical Data,Desktop Metal Price to Free Cash Flow Ratio Historical Data,Desktop Metal Price to Free Cash Flow Ratio Historical Data,Desktop Metal Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,2.42,,0.0
2024-09-30,4.67,$-2.31,0.0
2024-06-30,4.13,$-2.52,0.0
2024-03-31,8.8,$-2.78,0.0
2023-12-31,7.51,$-3.35,0.0
2023-09-30,14.6,$-3.72,0.0
2023-06-30,17.7,$-4.30,0.0
2023-03-31,23.0,$-5.30,0.0
2022-12-31,13.6,$-6.13,0.0
2022-09-30,25.9,$-6.89,0.0
2022-06-30,22.0,$-7.12,0.0
2022-03-31,47.4,$-6.44,0.0
2021-12-31,49.5,$-6.24,0.0
2021-09-30,71.7,$-5.83,0.0
2021-06-30,115.0,$-5.40,0.0
2021-03-31,149.0,$-5.43,0.0
2020-12-31,172.0,$-5.19,0.0
2020-09-30,108.0,$-8.17,0.0
2020-06-30,104.5,$-7.60,0.0
2020-03-31,99.4,$-8.46,0.0
