Select Water Solutions Price to Free Cash Flow Ratio Historical Data,Select Water Solutions Price to Free Cash Flow Ratio Historical Data,Select Water Solutions Price to Free Cash Flow Ratio Historical Data,Select Water Solutions Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,10.1,,15.42
2024-12-31,13.24,$0.65,20.22
2024-09-30,11.06,$0.97,11.41
2024-06-30,10.57,$1.52,6.97
2024-03-31,9.06,$1.74,5.21
2023-12-31,7.39,$1.39,5.31
2023-09-30,7.68,$1.15,6.65
2023-06-30,7.78,$0.34,22.66
2023-03-31,6.64,$-0.18,0.0
2022-12-31,8.76,$-0.07,0.0
2022-09-30,6.58,$-0.35,0.0
2022-06-30,6.43,$-0.41,0.0
2022-03-31,8.08,$-0.56,0.0
2021-12-31,5.88,$-0.42,0.0
2021-09-30,4.9,$-0.49,0.0
2021-06-30,5.7,$-0.14,0.0
2021-03-31,4.7,$0.55,8.48
2020-12-31,3.87,$1.02,3.81
2020-09-30,3.62,$1.55,2.34
2020-06-30,4.62,$1.76,2.63
2020-03-31,3.05,$1.43,2.13
2019-12-31,8.75,$1.06,8.24
2019-09-30,8.17,$1.20,6.8
2019-06-30,10.95,$0.98,11.2
2019-03-31,11.34,$0.76,14.98
2018-12-31,5.96,$0.76,7.81
2018-09-30,11.17,$-0.16,0.0
2018-06-30,13.71,$-0.35,0.0
2018-03-31,11.91,$-1.27,0.0
