Illinois Tool Works Price to Free Cash Flow Ratio Historical Data,Illinois Tool Works Price to Free Cash Flow Ratio Historical Data,Illinois Tool Works Price to Free Cash Flow Ratio Historical Data,Illinois Tool Works Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,253.36,,26.33
2024-12-31,253.56,$9.62,26.35
2024-09-30,262.07,$9.30,28.19
2024-06-30,235.61,$9.49,24.84
2024-03-31,265.24,$9.89,26.81
2023-12-31,257.58,$10.26,25.11
2023-09-30,226.47,$9.36,24.2
2023-06-30,244.52,$8.49,28.79
2023-03-31,236.71,$7.52,31.48
2022-12-31,213.04,$6.30,33.81
2022-09-30,173.67,$6.39,27.19
2022-06-30,173.97,$6.14,28.32
2022-03-31,198.54,$6.29,31.55
2021-12-31,232.68,$7.20,32.31
2021-09-30,193.85,$7.19,26.96
2021-06-30,208.54,$7.42,28.09
2021-03-31,205.58,$8.07,25.46
2020-12-31,188.26,$8.11,23.22
2020-09-30,177.4,$8.00,22.18
2020-06-30,159.61,$8.65,18.45
2020-03-31,128.92,$8.37,15.39
2019-12-31,161.73,$8.27,19.55
2019-09-30,140.06,$8.33,16.81
2019-06-30,134.05,$7.96,16.84
2019-03-31,126.73,$7.68,16.51
2018-12-31,111.09,$7.34,15.14
2018-09-30,122.75,$6.96,17.64
2018-06-30,119.67,$6.75,17.74
2018-03-31,134.56,$6.26,21.5
2017-12-31,142.59,$6.11,23.34
2017-09-30,125.86,$5.98,21.05
2017-06-30,121.21,$5.50,22.06
2017-03-31,111.58,$5.71,19.53
2016-12-31,102.65,$5.73,17.92
2016-09-30,99.92,$5.77,17.33
2016-06-30,86.38,$5.98,14.45
2016-03-31,84.49,$5.72,14.76
2015-12-31,76.03,$5.53,13.76
2015-09-30,67.13,$4.72,14.24
2015-06-30,74.35,$3.37,22.09
2015-03-31,78.28,$3.54,22.09
2014-12-31,75.93,$3.17,23.95
2014-09-30,67.35,$3.64,18.48
2014-06-30,69.46,$4.89,14.22
2014-03-31,64.21,$4.87,13.19
2013-12-31,66.04,$4.89,13.5
2013-09-30,59.6,$4.58,13.02
2013-06-30,53.76,$4.11,13.07
2013-03-31,47.1,$3.75,12.56
2012-12-31,46.71,$3.63,12.85
2012-09-30,45.39,$3.82,11.87
2012-06-30,40.11,$4.09,9.81
2012-03-31,43.02,$3.66,11.75
2011-12-31,34.96,$3.28,10.67
2011-09-30,30.89,$2.58,11.96
2011-06-30,41.6,$2.01,20.65
2011-03-31,39.32,$2.10,18.74
2010-12-31,38.84,$2.42,16.05
2010-09-30,33.99,$2.78,12.23
2010-06-30,29.62,$2.91,10.18
2010-03-31,33.74,$3.52,9.58
2009-12-31,33.97,$3.86,8.8
