JFrog Price to Free Cash Flow Ratio Historical Data,JFrog Price to Free Cash Flow Ratio Historical Data,JFrog Price to Free Cash Flow Ratio Historical Data,JFrog Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,33.87,,34.47
2024-12-31,29.41,$0.98,29.93
2024-09-30,29.04,$0.85,34.25
2024-06-30,37.55,$0.85,44.01
2024-03-31,44.22,$0.87,50.96
2023-12-31,34.61,$0.70,49.54
2023-09-30,25.36,$0.45,56.21
2023-06-30,27.7,$0.25,111.87
2023-03-31,19.7,$0.12,165.82
2022-12-31,21.33,$0.17,123.8
2022-09-30,22.11,$0.28,78.07
2022-06-30,21.07,$0.04,473.48
2022-03-31,26.95,$0.21,130.38
2021-12-31,29.7,$0.25,118.9
2021-09-30,33.5,$0.26,130.05
2021-06-30,45.52,$0.83,54.69
