KALA BIO Price to Free Cash Flow Ratio Historical Data,KALA BIO Price to Free Cash Flow Ratio Historical Data,KALA BIO Price to Free Cash Flow Ratio Historical Data,KALA BIO Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,6.8,,0.0
2024-09-30,5.7,$-8.95,0.0
2024-06-30,7.09,$-11.00,0.0
2024-03-31,7.97,$-10.84,0.0
2023-12-31,7.0,$-11.71,0.0
2023-09-30,8.9,$-16.84,0.0
2023-06-30,14.59,$-25.87,0.0
2023-03-31,15.05,$-40.47,0.0
2022-12-31,38.15,$-52.01,0.0
2022-09-30,11.07,$-64.37,0.0
2022-06-30,15.0,$-73.90,0.0
2022-03-31,69.0,$-72.48,0.0
2021-12-31,60.5,$-82.85,0.0
2021-09-30,131.0,$-91.13,0.0
2021-06-30,265.0,$-94.92,0.0
2021-03-31,337.0,$-90.33,0.0
2020-12-31,339.0,$-88.43,0.0
2020-09-30,375.0,$-85.86,0.0
2020-06-30,525.5,$-95.89,0.0
2020-03-31,439.5,$-115.55,0.0
2019-12-31,184.5,$-137.47,0.0
2019-09-30,190.25,$-135.94,0.0
2019-06-30,319.0,$-135.91,0.0
2019-03-31,413.5,$-124.09,0.0
2018-12-31,244.5,$-104.09,0.0
2018-09-30,493.5,$-153.97,0.0
2018-06-30,686.5,$-197.70,0.0
