United Community Banks Price to Free Cash Flow Ratio Historical Data,United Community Banks Price to Free Cash Flow Ratio Historical Data,United Community Banks Price to Free Cash Flow Ratio Historical Data,United Community Banks Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,28.12,,11.1
2024-12-31,32.31,$2.53,12.75
2024-09-30,28.87,$1.46,19.79
2024-06-30,25.07,$2.04,12.3
2024-03-31,25.67,$1.95,13.19
2023-12-31,28.28,$1.92,14.72
2023-09-30,24.37,$2.62,9.3
2023-06-30,23.76,$3.47,6.84
2023-03-31,26.5,$4.14,6.4
2022-12-31,31.59,$5.38,5.87
2022-09-30,30.73,$5.35,5.75
2022-06-30,27.84,$5.27,5.29
2022-03-31,31.86,$5.29,6.02
2021-12-31,32.72,$3.83,8.55
2021-09-30,29.71,$4.18,7.11
2021-06-30,28.77,$3.24,8.87
2021-03-31,30.49,$2.23,13.65
2020-12-31,25.29,$1.70,14.92
2020-09-30,14.95,$1.23,12.14
2020-06-30,17.59,$1.45,12.1
2020-03-31,15.87,$1.28,12.4
2019-12-31,26.51,$1.75,15.14
2019-09-30,24.2,$1.94,12.45
2019-06-30,24.23,$2.36,10.28
2019-03-31,21.02,$2.71,7.75
2018-12-31,17.98,$3.25,5.53
2018-09-30,23.21,$3.12,7.43
2018-06-30,25.39,$2.72,9.32
2018-03-31,26.08,$2.59,10.05
2017-12-31,23.1,$2.58,8.96
2017-09-30,23.35,$2.53,9.23
2017-06-30,22.65,$2.67,8.49
2017-03-31,22.49,$2.63,8.55
2016-12-31,23.98,$1.77,13.52
2016-09-30,16.97,$1.26,13.44
2016-06-30,14.71,$1.14,12.96
2016-03-31,14.8,$1.22,12.12
2015-12-31,15.56,$1.66,9.4
2015-09-30,16.27,$2.05,7.92
2015-06-30,16.56,$1.77,9.38
2015-03-31,14.94,$1.56,9.56
2014-12-31,14.95,$1.61,9.3
2014-09-30,12.96,$1.54,8.44
2014-06-30,12.86,$2.09,6.17
2014-03-31,15.22,$2.74,5.56
2013-12-31,13.92,$3.19,4.37
2013-09-30,11.76,$3.43,3.43
2013-06-30,9.74,$3.31,2.94
2013-03-31,8.89,$3.46,2.57
2012-12-31,7.4,$3.11,2.38
2012-09-30,6.58,$4.04,1.63
2012-06-30,6.72,$3.67,1.83
2012-03-31,7.65,$2.71,2.83
2011-12-31,5.48,$3.64,1.51
2011-09-30,6.66,$0.52,12.76
2011-06-30,8.28,$4.66,1.78
2011-03-31,9.14,$6.50,1.41
2010-12-31,7.65,$7.24,1.06
2010-09-30,8.79,$4.22,2.08
2010-06-30,15.49,$6.27,2.47
2010-03-31,17.3,$7.49,2.31
2009-12-31,13.3,$10.38,1.28
