Spruce Power Holding Price to Free Cash Flow Ratio Historical Data,Spruce Power Holding Price to Free Cash Flow Ratio Historical Data,Spruce Power Holding Price to Free Cash Flow Ratio Historical Data,Spruce Power Holding Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,2.57,,0.0
2024-09-30,2.84,$-2.16,0.0
2024-06-30,3.65,$-2.06,0.0
2024-03-31,3.97,$-2.26,0.0
2023-12-31,4.42,$-1.52,0.0
2023-09-30,0.68,$-1.49,0.0
2023-06-30,0.81,$-2.46,0.0
2023-03-31,0.82,$-2.71,0.0
2022-12-31,0.92,$-3.43,0.0
2022-09-30,0.89,$-3.06,0.0
2022-06-30,1.15,$-3.03,0.0
2022-03-31,1.99,$-3.10,0.0
2021-12-31,3.31,$-2.61,0.0
2021-09-30,6.16,$-2.75,0.0
2021-06-30,8.33,$-2.41,0.0
2021-03-31,8.98,$-2.04,0.0
2020-12-31,23.73,$-1.89,0.0
2020-09-30,11.53,$-2.05,0.0
2020-06-30,10.15,$-1.93,0.0
