State Street Price to Free Cash Flow Ratio Historical Data,State Street Price to Free Cash Flow Ratio Historical Data,State Street Price to Free Cash Flow Ratio Historical Data,State Street Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,90.52,,0.0
2024-12-31,98.15,$-46.77,0.0
2024-09-30,87.7,$-9.24,0.0
2024-06-30,72.67,$-17.50,0.0
2024-03-31,75.94,$4.91,15.45
2023-12-31,75.4,$-0.39,0.0
2023-09-30,64.6,$5.99,10.78
2023-06-30,69.88,$17.77,3.93
2023-03-31,71.66,$9.55,7.51
2022-12-31,72.84,$30.32,2.4
2022-09-30,56.64,$23.28,2.43
2022-06-30,56.83,$12.57,4.52
2022-03-31,79.58,$1.89,42.04
2021-12-31,84.4,$-21.01,0.0
2021-09-30,76.42,$-23.44,0.0
2021-06-30,73.72,$-39.23,0.0
2021-03-31,74.8,$-13.59,0.0
2020-12-31,64.4,$8.32,7.74
2020-09-30,52.13,$1.55,33.7
2020-06-30,55.35,$29.37,1.88
2020-03-31,46.02,$26.20,1.76
2019-12-31,67.67,$13.27,5.1
2019-09-30,50.31,$13.65,3.69
2019-06-30,47.23,$15.22,3.1
2019-03-31,54.99,$10.86,5.06
2018-12-31,52.32,$25.41,2.06
2018-09-30,69.5,$35.69,1.95
2018-06-30,76.8,$15.35,5.0
2018-03-31,81.9,$20.51,3.99
2017-12-31,79.83,$16.58,4.82
2017-09-30,77.8,$3.28,23.69
2017-06-30,72.75,$2.14,34.07
2017-03-31,64.27,$6.24,10.3
2016-12-31,62.45,$4.23,14.75
2016-09-30,55.68,$12.40,4.49
2016-06-30,42.88,$18.24,2.35
2016-03-31,46.23,$0.84,55.06
2015-12-31,52.12,$-5.09,0.0
2015-09-30,52.52,$-12.27,0.0
2015-06-30,59.87,$-14.25,0.0
2015-03-31,56.92,$-5.66,0.0
2014-12-31,60.52,$-2.29,0.0
2014-09-30,56.54,$-6.39,0.0
2014-06-30,51.45,$-0.60,0.0
2014-03-31,52.96,$-1.77,0.0
2013-12-31,55.68,$-5.30,0.0
2013-09-30,49.7,$-0.95,0.0
2013-06-30,49.1,$1.43,34.23
2013-03-31,44.32,$2.75,16.11
2012-12-31,35.1,$3.28,10.7
2012-09-30,31.17,$8.56,3.64
2012-06-30,32.97,$8.23,4.01
2012-03-31,33.42,$7.17,4.66
2011-12-31,29.45,$6.20,4.75
2011-09-30,23.4,$-0.52,0.0
2011-06-30,32.62,$-10.03,0.0
2011-03-31,32.39,$-2.32,0.0
2010-12-31,33.26,$1.13,29.52
2010-09-30,27.03,$1.67,16.15
2010-06-30,24.26,$8.55,2.84
2010-03-31,32.38,$0.56,57.53
2009-12-31,31.22,$-9.61,0.0
