AmeriServ Financial Price to Free Cash Flow Ratio Historical Data,AmeriServ Financial Price to Free Cash Flow Ratio Historical Data,AmeriServ Financial Price to Free Cash Flow Ratio Historical Data,AmeriServ Financial Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,2.45,,33.2
2024-12-31,2.68,$0.07,36.31
2024-09-30,2.58,$-0.11,0.0
2024-06-30,2.21,$0.09,24.99
2024-03-31,2.51,$0.04,57.9
2023-12-31,3.09,$0.29,10.71
2023-09-30,2.5,$0.41,6.04
2023-06-30,2.38,$0.29,8.11
2023-03-31,2.82,$0.18,15.52
2022-12-31,3.62,$0.18,19.76
2022-09-30,3.47,$0.13,26.88
2022-06-30,3.57,$0.01,0.0
2022-03-31,3.63,$0.21,16.93
2021-12-31,3.45,$0.51,6.78
2021-09-30,3.45,$0.56,6.15
2021-06-30,3.47,$0.48,7.28
2021-03-31,3.56,$0.28,12.55
2020-12-31,2.73,$-0.15,0.0
2020-09-30,2.43,$-0.13,0.0
2020-06-30,2.64,$-0.12,0.0
2020-03-31,2.22,$0.04,51.0
2019-12-31,3.54,$0.13,27.07
2019-09-30,3.47,$0.10,36.35
2019-06-30,3.46,$0.25,14.05
2019-03-31,3.35,$0.16,20.8
2018-12-31,3.34,$0.33,10.24
2018-09-30,3.55,$0.25,14.06
2018-06-30,3.37,$0.37,9.04
2018-03-31,3.27,$0.36,9.21
2017-12-31,3.38,$0.26,12.78
2017-09-30,3.25,$0.64,5.06
2017-06-30,3.36,$0.18,18.65
2017-03-31,3.02,$0.38,7.97
2016-12-31,2.97,$0.29,10.34
2016-09-30,2.65,$-0.00,0.0
2016-06-30,2.4,$0.44,5.5
2016-03-31,2.37,$0.38,6.32
2015-12-31,2.53,$0.50,5.02
2015-09-30,2.55,$0.51,5.0
2015-06-30,2.62,$0.42,6.28
2015-03-31,2.33,$0.27,8.75
2014-12-31,2.44,$0.22,11.03
2014-09-30,2.57,$0.14,18.33
2014-06-30,2.7,$0.37,7.23
2014-03-31,2.98,$0.47,6.37
2013-12-31,2.34,$0.67,3.46
2013-09-30,2.42,$0.49,4.93
2013-06-30,2.1,$0.25,8.54
2013-03-31,2.39,$0.15,16.45
2012-12-31,2.3,$0.04,62.64
2012-09-30,2.27,$0.12,18.97
2012-06-30,2.15,$0.16,13.75
2012-03-31,2.09,$0.09,23.26
2011-12-31,1.49,$0.47,3.2
2011-09-30,1.45,$0.52,2.79
2011-06-30,1.49,$0.55,2.69
2011-03-31,1.81,$0.51,3.53
2010-12-31,1.21,$0.06,20.21
2010-09-30,1.28,$-0.05,0.0
2010-06-30,1.23,$0.12,10.15
2010-03-31,1.28,$0.16,7.84
2009-12-31,1.28,$-0.00,0.0
