MoneyHero Price to Free Cash Flow Ratio Historical Data,MoneyHero Price to Free Cash Flow Ratio Historical Data,MoneyHero Price to Free Cash Flow Ratio Historical Data,MoneyHero Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.8,,0.0
2024-09-30,1.09,$-1.78,0.0
2024-06-30,1.89,$-1.45,0.0
2024-03-31,1.83,$-1.63,0.0
2023-12-31,1.72,$-1.78,0.0
2023-09-30,10.36,$-30.16,0.0
2023-06-30,10.27,$-31.08,0.0
2023-03-31,10.08,$-30.91,0.0
2022-12-31,9.91,$-30.78,0.0
2022-09-30,10.04,$-0.72,0.0
2022-06-30,9.92,$-0.15,0.0
2022-03-31,9.86,$-0.16,0.0
2021-12-31,9.82,$-0.15,0.0
2021-09-30,9.81,$-0.06,0.0
