Standard BioTools Price to Free Cash Flow Ratio Historical Data,Standard BioTools Price to Free Cash Flow Ratio Historical Data,Standard BioTools Price to Free Cash Flow Ratio Historical Data,Standard BioTools Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.16,,0.0
2024-12-31,1.75,$-0.43,0.0
2024-09-30,1.93,$-0.54,0.0
2024-06-30,1.77,$-0.61,0.0
2024-03-31,2.71,$-0.68,0.0
2023-12-31,2.21,$-0.58,0.0
2023-09-30,2.9,$-0.67,0.0
2023-06-30,1.93,$-0.83,0.0
2023-03-31,1.95,$-1.10,0.0
2022-12-31,1.17,$-1.19,0.0
2022-09-30,1.1,$-1.03,0.0
2022-06-30,1.6,$-0.85,0.0
2022-03-31,3.59,$-0.70,0.0
2021-12-31,3.92,$-0.76,0.0
2021-09-30,6.59,$-0.86,0.0
2021-06-30,6.16,$-0.78,0.0
2021-03-31,4.52,$-0.58,0.0
2020-12-31,6.0,$-0.39,0.0
2020-09-30,7.43,$-0.30,0.0
2020-06-30,4.01,$-0.32,0.0
2020-03-31,2.54,$-0.29,0.0
2019-12-31,3.48,$-0.57,0.0
2019-09-30,4.63,$-0.47,0.0
2019-06-30,12.32,$-0.49,0.0
2019-03-31,13.29,$-0.58,0.0
2018-12-31,8.62,$-0.64,0.0
2018-09-30,7.49,$-0.66,0.0
2018-06-30,5.96,$-0.71,0.0
2018-03-31,5.84,$-0.88,0.0
2017-12-31,5.89,$-0.78,0.0
2017-09-30,5.04,$-1.15,0.0
2017-06-30,4.04,$-1.51,0.0
2017-03-31,5.69,$-1.53,0.0
2016-12-31,7.28,$-1.52,0.0
2016-09-30,8.01,$-1.33,0.0
2016-06-30,9.03,$-1.27,0.0
2016-03-31,8.07,$-1.28,0.0
2015-12-31,10.81,$-1.35,0.0
2015-09-30,8.11,$-1.33,0.0
2015-06-30,24.2,$-1.24,0.0
2015-03-31,42.1,$-1.00,0.0
2014-12-31,33.73,$-1.08,0.0
2014-09-30,24.5,$-0.84,0.0
2014-06-30,29.4,$-0.55,0.0
2014-03-31,44.07,$-0.59,0.0
2013-12-31,38.28,$-0.20,0.0
2013-09-30,21.94,$-0.46,0.0
2013-06-30,17.46,$-0.49,0.0
2013-03-31,18.51,$-0.61,0.0
2012-12-31,14.31,$-0.90,0.0
2012-09-30,17.0,$-0.96,0.0
2012-06-30,15.04,$-0.97,0.0
2012-03-31,15.73,$-1.29,0.0
2011-12-31,13.16,$-1.08,0.0
