Sleep Number Price to Free Cash Flow Ratio Historical Data,Sleep Number Price to Free Cash Flow Ratio Historical Data,Sleep Number Price to Free Cash Flow Ratio Historical Data,Sleep Number Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,7.31,,43.56
2024-12-31,15.24,$0.17,90.82
2024-09-30,18.32,$-0.73,0.0
2024-06-30,9.57,$-2.03,0.0
2024-03-31,16.03,$-1.99,0.0
2023-12-31,14.83,$-2.95,0.0
2023-09-30,24.59,$-3.39,0.0
2023-06-30,27.28,$-1.61,0.0
2023-03-31,30.41,$-1.53,0.0
2022-12-31,25.98,$-1.46,0.0
2022-09-30,33.81,$0.52,65.59
2022-06-30,30.95,$3.87,7.99
2022-03-31,50.71,$5.80,8.75
2021-12-31,76.6,$9.35,8.19
2021-09-30,93.48,$9.53,9.81
2021-06-30,109.95,$11.33,9.7
2021-03-31,143.49,$9.71,14.78
2020-12-31,81.86,$8.53,9.59
2020-09-30,48.91,$8.53,5.73
2020-06-30,41.64,$5.43,7.67
2020-03-31,19.16,$5.35,3.58
2019-12-31,49.24,$4.37,11.28
2019-09-30,41.32,$4.40,9.38
2019-06-30,40.39,$3.45,11.7
2019-03-31,47.0,$2.96,15.87
2018-12-31,31.73,$2.39,13.3
2018-09-30,36.78,$2.22,16.59
2018-06-30,29.02,$1.42,20.5
2018-03-31,35.15,$2.03,17.36
2017-12-31,37.59,$2.68,14.02
2017-09-30,31.05,$3.04,10.22
2017-06-30,35.49,$2.98,11.9
2017-03-31,24.79,$2.63,9.43
2016-12-31,22.62,$2.00,11.3
2016-09-30,21.6,$1.37,15.75
2016-06-30,21.38,$0.81,26.36
2016-03-31,19.39,$0.91,21.4
2015-12-31,21.41,$0.43,49.73
2015-09-30,21.89,$1.17,18.63
2015-06-30,30.07,$1.19,25.29
2015-03-31,34.47,$1.43,24.09
2014-12-31,27.03,$1.25,21.58
2014-09-30,20.92,$1.06,19.75
2014-06-30,20.66,$0.40,51.64
2014-03-31,18.08,$0.06,285.62
2013-12-31,21.09,$0.20,103.13
2013-09-30,24.35,$0.37,65.33
2013-06-30,25.06,$0.48,51.85
2013-03-31,19.77,$0.79,24.95
2012-12-31,26.17,$0.86,30.43
2012-09-30,31.53,$1.20,26.23
2012-06-30,20.92,$1.13,18.5
2012-03-31,32.39,$1.28,25.23
2011-12-31,21.69,$1.20,18.12
2011-09-30,13.97,$1.01,13.86
2011-06-30,17.98,$1.10,16.33
2011-03-31,12.06,$1.15,10.46
2010-12-31,9.13,$1.16,7.88
2010-09-30,6.78,$1.41,4.8
2010-06-30,8.75,$1.05,8.33
2010-03-31,7.97,$1.34,5.97
2009-12-31,6.52,$1.31,4.96
