Minerva Neurosciences Price to Free Cash Flow Ratio Historical Data,Minerva Neurosciences Price to Free Cash Flow Ratio Historical Data,Minerva Neurosciences Price to Free Cash Flow Ratio Historical Data,Minerva Neurosciences Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.73,,0.0
2024-12-31,2.22,$-2.58,0.0
2024-09-30,2.67,$-3.01,0.0
2024-06-30,3.19,$-2.87,0.0
2024-03-31,2.58,$-3.06,0.0
2023-12-31,6.15,$-2.27,0.0
2023-09-30,6.9,$-1.93,0.0
2023-06-30,9.14,$-3.28,0.0
2023-03-31,1.6,$-3.55,0.0
2022-12-31,1.59,$-4.62,0.0
2022-09-30,9.23,$-4.75,0.0
2022-06-30,3.31,$-4.58,0.0
2022-03-31,6.64,$-4.72,0.0
2021-12-31,6.41,$-4.61,0.0
2021-09-30,13.92,$-5.23,0.0
2021-06-30,18.56,$-5.36,0.0
2021-03-31,23.36,$-5.71,0.0
2020-12-31,18.72,$-6.61,0.0
2020-09-30,25.44,$-8.00,0.0
2020-06-30,28.88,$-8.20,0.0
2020-03-31,48.16,$-8.81,0.0
2019-12-31,56.88,$-8.91,0.0
2019-09-30,62.0,$-8.02,0.0
2019-06-30,45.04,$-8.12,0.0
2019-03-31,62.88,$-8.36,0.0
2018-12-31,53.92,$-8.65,0.0
2018-09-30,100.4,$-8.34,0.0
2018-06-30,66.0,$-1.13,0.0
2018-03-31,50.0,$-0.25,0.0
2017-12-31,48.4,$0.64,75.48
2017-09-30,60.8,$-0.32,0.0
2017-06-30,70.8,$-6.00,0.0
2017-03-31,64.8,$-6.11,0.0
2016-12-31,94.0,$-6.52,0.0
2016-09-30,112.92,$-6.43,0.0
2016-06-30,81.68,$-7.75,0.0
2016-03-31,49.12,$-8.05,0.0
2015-12-31,48.56,$-8.29,0.0
2015-09-30,42.0,$-14.39,0.0
2015-06-30,46.4,$-26.50,0.0
