Akso Health Group Price to Free Cash Flow Ratio Historical Data,Akso Health Group Price to Free Cash Flow Ratio Historical Data,Akso Health Group Price to Free Cash Flow Ratio Historical Data,Akso Health Group Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.26,,0.0
2019-09-30,4.59,$-0.15,0.0
2019-06-30,7.14,$-0.15,0.0
2019-03-31,10.02,$-0.15,0.0
2018-12-31,7.5,$5.49,1.37
2018-09-30,23.64,$5.49,4.3
