Bridgewater Bancshares Price to Free Cash Flow Ratio Historical Data,Bridgewater Bancshares Price to Free Cash Flow Ratio Historical Data,Bridgewater Bancshares Price to Free Cash Flow Ratio Historical Data,Bridgewater Bancshares Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,14.02,,9.16
2024-12-31,13.51,$1.53,8.82
2024-09-30,14.17,$0.09,151.55
2024-06-30,11.61,$0.88,13.22
2024-03-31,11.64,$0.94,12.37
2023-12-31,13.52,$0.96,14.1
2023-09-30,9.48,$1.41,6.71
2023-06-30,9.85,$1.19,8.27
2023-03-31,10.84,$2.12,5.12
2022-12-31,17.74,$2.91,6.1
2022-09-30,16.47,$3.12,5.28
2022-06-30,16.14,$3.33,4.85
2022-03-31,16.68,$2.20,7.57
2021-12-31,17.69,$1.85,9.59
2021-09-30,17.51,$1.57,11.14
2021-06-30,16.15,$1.41,11.43
2021-03-31,16.15,$0.99,16.36
2020-12-31,12.49,$-0.05,0.0
2020-09-30,9.49,$0.04,236.66
2020-06-30,10.25,$-0.15,0.0
2020-03-31,9.75,$0.29,34.03
2019-12-31,13.78,$0.84,16.35
2019-09-30,11.94,$0.87,13.71
2019-06-30,11.54,$0.96,11.97
2019-03-31,10.31,$0.93,11.07
2018-12-31,10.55,$0.88,11.92
