Rapt Therapeutics Price to Free Cash Flow Ratio Historical Data,Rapt Therapeutics Price to Free Cash Flow Ratio Historical Data,Rapt Therapeutics Price to Free Cash Flow Ratio Historical Data,Rapt Therapeutics Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.2,,0.0
2024-12-31,1.58,$-2.05,0.0
2024-09-30,2.01,$-2.60,0.0
2024-06-30,3.05,$-2.72,0.0
2024-03-31,8.98,$-2.76,0.0
2023-12-31,24.85,$-2.56,0.0
2023-09-30,16.62,$-2.59,0.0
2023-06-30,18.7,$-2.45,0.0
2023-03-31,18.35,$-2.17,0.0
2022-12-31,19.8,$-2.20,0.0
2022-09-30,24.06,$-2.32,0.0
2022-06-30,18.25,$-2.17,0.0
2022-03-31,21.99,$-2.22,0.0
2021-12-31,36.73,$-2.26,0.0
2021-09-30,31.05,$-2.04,0.0
2021-06-30,31.79,$-2.17,0.0
2021-03-31,22.2,$-1.88,0.0
2020-12-31,19.75,$-1.69,0.0
2020-09-30,32.2,$-9.39,0.0
